Sim	T1	W	k	Antigen_2016	MF_2016	ICCV
0	0.00914189	0.623988	0.256695	10.0672	1.89153	0.216
0	0.00914189	0.623988	0.256695	10.3111	2.55467	0.522
0	0.00914189	0.623988	0.256695	9.87182	2.37501	0.1848
0	0.00914189	0.623988	0.256695	10.9037	2.11336	0.2156
0	0.00914189	0.623988	0.256695	10.9889	2.17339	0.1691
1	0.00210458	0.440916	0.13382	3.57421	0.155642	0.0509
1	0.00210458	0.440916	0.13382	3.92763	0.297856	0.238
1	0.00210458	0.440916	0.13382	3.61839	0.186268	0.1195
1	0.00210458	0.440916	0.13382	3.64226	0.156676	0.2078
1	0.00210458	0.440916	0.13382	3.7158	0.208587	0.262
2	0.00372778	0.372481	0.290581	3.83244	0.14591	0.083
2	0.00372778	0.372481	0.290581	3.99889	0.220105	0.129
2	0.00372778	0.372481	0.290581	4.01643	0.13818	0.3291
2	0.00372778	0.372481	0.290581	3.89079	0.162888	0.0715
2	0.00372778	0.372481	0.290581	4.20588	0.177479	0.1979
3	0.00439001	0.214752	0.147642	6.07161	0.871584	0.1226
3	0.00439001	0.214752	0.147642	5.80491	0.923174	0.251
3	0.00439001	0.214752	0.147642	6.40926	1.06729	0.4743
3	0.00439001	0.214752	0.147642	5.97442	0.858234	0.2667
3	0.00439001	0.214752	0.147642	5.4028	0.879483	0.2202
4	0.00884996	0.21361	0.217745	9.64098	2.70465	0.3997
4	0.00884996	0.21361	0.217745	9.21108	2.72129	0.3852
4	0.00884996	0.21361	0.217745	10.632	3.01394	0.2503
4	0.00884996	0.21361	0.217745	9.79213	2.68774	0.3217
4	0.00884996	0.21361	0.217745	9.81129	2.58182	0.349
5	0.000306026	0.113188	0.144714	2.126	0.0055606	0.1367
5	0.000306026	0.113188	0.144714	2.02609	0	0.1024
5	0.000306026	0.113188	0.144714	2.08594	0.00552812	0.406
5	0.000306026	0.113188	0.144714	2.12593	0.00184543	0.237
5	0.000306026	0.113188	0.144714	2.12413	0.00552201	0.4406
6	0.00962108	0.213845	0.2293	9.56987	2.56482	0.2516
6	0.00962108	0.213845	0.2293	10.4009	2.74079	0.1729
6	0.00962108	0.213845	0.2293	10.802	2.71019	0.2634
6	0.00962108	0.213845	0.2293	11.52	3.17481	0.3756
6	0.00962108	0.213845	0.2293	10.2186	2.65899	0.3564
7	0.0028782	0.118287	0.0480422	6.36793	2.29312	0.1744
7	0.0028782	0.118287	0.0480422	6.11782	2.09086	0.32
7	0.0028782	0.118287	0.0480422	6.34211	2.34551	0.2932
7	0.0028782	0.118287	0.0480422	5.73053	2.02559	0.0528
7	0.0028782	0.118287	0.0480422	6.60876	2.46793	0.121
8	0.00308877	0.379166	0.256981	3.88357	0.20196	0.2062
8	0.00308877	0.379166	0.256981	3.46698	0.105509	0.4097
8	0.00308877	0.379166	0.256981	3.68609	0.0795692	0.1141
8	0.00308877	0.379166	0.256981	3.71205	0.129275	0.4605
8	0.00308877	0.379166	0.256981	3.74153	0.103623	0.1098
9	0.00257731	0.629183	0.0139509	5.02087	2.54384	0.0901
9	0.00257731	0.629183	0.0139509	5.24285	2.63989	0.1653
9	0.00257731	0.629183	0.0139509	4.94404	2.38307	0.1106
9	0.00257731	0.629183	0.0139509	5.22117	2.64375	0.2903
9	0.00257731	0.629183	0.0139509	4.98765	2.45143	0.1049
