number	T1	density	W	density	k	density
63	0.00626764	3.95001	0.469076	0.827847	0.191741	2.4651
64	0.00636845	2.37847	0.476623	0.781799	0.194667	2.29172
65	0.00646927	1.40424	0.48417	0.740042	0.197592	2.11769
66	0.00657008	0.810307	0.491718	0.705164	0.200517	1.94305
67	0.00667089	0.454755	0.499265	0.679599	0.203443	1.76844
68	0.0067717	0.246836	0.506812	0.665399	0.206368	1.59501
69	0.00687251	0.128898	0.514359	0.664016	0.209294	1.42446
70	0.00697333	0.0644662	0.521907	0.676123	0.212219	1.25879
71	0.00707414	0.0307672	0.529454	0.701491	0.215145	1.10022
72	0.00717495	0.0139732	0.537001	0.738936	0.21807	0.950901
73	0.00727576	0.00602581	0.544548	0.786346	0.220995	0.812741
74	0.00737657	0.00246328	0.552096	0.840791	0.223921	0.687219
75	0.00747739	0.00095325	0.559643	0.898715	0.226846	0.575265
76	0.0075782	0.000348821	0.56719	0.956185	0.229772	0.477205
77	0.00767901	0.000120578	0.574737	1.00919	0.232697	0.392793
78	0.00777982	3.93367e-05	0.582285	1.05397	0.235623	0.321285
79	0.00788064	1.20999e-05	0.589832	1.08726	0.238548	0.261563
80	0.00798145	3.50582e-06	0.597379	1.10663	0.241473	0.212276
81	0.00808226	9.55796e-07	0.604926	1.1106	0.244399	0.171972
82	0.00818307	2.44913e-07	0.612474	1.09874	0.247324	0.139217
83	0.00828388	5.89116e-08	0.620021	1.0717	0.25025	0.112677
84	0.0083847	1.32857e-08	0.627568	1.0311	0.253175	0.0911761
85	0.00848551	2.80551e-09	0.635115	0.979305	0.256101	0.0737194
86	0.00858632	5.54023e-10	0.642663	0.919237	0.259026	0.0594948
87	0.00868713	1.0219e-10	0.65021	0.854051	0.261951	0.0478581
88	0.00878794	1.75858e-11	0.657757	0.786871	0.264877	0.0383087
89	0.00888876	2.82055e-12	0.665304	0.720523	0.267802	0.0304616
90	0.00898957	4.21227e-13	0.672852	0.657332	0.270728	0.0240204
91	0.00909038	5.8526e-14	0.680399	0.59898	0.273653	0.0187536
92	0.00919119	7.55992e-15	0.687946	0.54645	0.276579	0.0144756
93	0.00929201	9.07298e-16	0.695493	0.500039	0.279504	0.0110327
94	0.00939282	1.01115e-16	0.703041	0.459449	0.282429	0.00829362
95	0.00949363	1.04597e-17	0.710588	0.423921	0.285355	0.00614365
96	0.00959444	1.00392e-18	0.718135	0.392407	0.28828	0.00448122
97	0.00969525	8.93741e-20	0.725682	0.363745	0.291206	0.00321647
98	0.00979607	7.37814e-21	0.73323	0.336823	0.294131	0.00227069
99	0.00989688	5.64687e-22	0.740777	0.310709	0.297057	0.00157598
100	0.00999769	4.00607e-23	0.748324	0.284738	0.299982	0.00107503
