number	T1	density	W	density	k	density
1	1.72906e-05	1.76452e-10	0.00114686	0.650896	0.0103646	0.528914
2	0.000118103	1.2787e-09	0.0086941	0.739492	0.01329	0.683073
3	0.000218915	8.58785e-09	0.0162413	0.826288	0.0162155	0.862708
4	0.000319727	5.34553e-08	0.0237886	0.908843	0.0191409	1.06633
5	0.000420539	3.08394e-07	0.0313358	0.985125	0.0220663	1.29095
6	0.000521351	1.6491e-06	0.0388831	1.05378	0.0249917	1.53225
7	0.000622163	8.17411e-06	0.0464303	1.11437	0.0279172	1.78489
8	0.000722975	3.75586e-05	0.0539776	1.16751	0.0308426	2.04303
9	0.000823788	0.000159987	0.0615248	1.2149	0.033768	2.30084
10	0.0009246	0.000631832	0.0690721	1.25931	0.0366935	2.55312
11	0.00102541	0.00231369	0.0766193	1.30434	0.0396189	2.79572
12	0.00112622	0.00785681	0.0841665	1.35417	0.0425443	3.02593
13	0.00122704	0.0247454	0.0917138	1.41315	0.0454697	3.24255
14	0.00132785	0.0722992	0.099261	1.48543	0.0483952	3.44593
15	0.00142866	0.196008	0.106808	1.57444	0.0513206	3.6377
16	0.00152947	0.493243	0.114356	1.68251	0.054246	3.82049
17	0.00163028	1.15262	0.121903	1.81048	0.0571715	3.9976
18	0.0017311	2.50268	0.12945	1.95746	0.0600969	4.17269
19	0.00183191	5.0532	0.136997	2.12063	0.0630223	4.3496
20	0.00193272	9.49818	0.144544	2.29527	0.0659477	4.53225
21	0.00203353	16.6445	0.152092	2.47498	0.0688732	4.72463
22	0.00213435	27.2481	0.159639	2.65198	0.0717986	4.93087
23	0.00223516	41.786	0.167186	2.81764	0.074724	5.15522
24	0.00233597	60.251	0.174733	2.96312	0.0776495	5.40195
25	0.00243678	82.0869	0.182281	3.08013	0.0805749	5.67501
26	0.00253759	106.344	0.189828	3.16158	0.0835003	5.97751
27	0.00263841	132.038	0.197375	3.20228	0.0864257	6.31092
28	0.00273922	158.559	0.204922	3.19945	0.0893512	6.67433
29	0.00284003	185.957	0.21247	3.153	0.0922766	7.06364
30	0.00294084	214.95	0.220017	3.06558	0.095202	7.47111
31	0.00304165	246.648	0.227564	2.94235	0.0981275	7.88533
32	0.00314247	282.113	0.235111	2.79057	0.101053	8.29162
33	0.00324328	321.867	0.242659	2.61887	0.103978	8.67307
34	0.00334409	365.485	0.250206	2.43653	0.106904	9.01186
35	0.0034449	411.312	0.257753	2.25269	0.109829	9.29086
36	0.00354571	456.408	0.2653	2.07559	0.112755	9.49522
37	0.00364653	496.817	0.272848	1.91199	0.11568	9.61368
38	0.00374734	528.204	0.280395	1.76678	0.118605	9.63953
39	0.00384815	546.793	0.287942	1.6428	0.121531	9.57106
40	0.00394896	550.307	0.295489	1.54091	0.124456	9.41154
41	0.00404978	538.582	0.303037	1.46024	0.127382	9.1687
42	0.00415059	513.576	0.310584	1.39856	0.130307	8.85393
43	0.0042514	478.797	0.318131	1.35277	0.133233	8.48127
44	0.00435221	438.352	0.325678	1.31939	0.136158	8.06624
45	0.00445302	395.998	0.333226	1.29497	0.139083	7.62468
46	0.00455384	354.506	0.340773	1.27642	0.142009	7.17175
47	0.00465465	315.448	0.34832	1.26125	0.144934	6.72099
48	0.00475546	279.374	0.355867	1.24762	0.14786	6.28363
49	0.00485627	246.164	0.363415	1.2343	0.150785	5.86822
50	0.00495708	215.388	0.370962	1.22056	0.153711	5.48046
51	0.0050579	186.569	0.378509	1.20599	0.156636	5.12332
52	0.00515871	159.334	0.386056	1.19028	0.159561	4.7974
53	0.00525952	133.512	0.393604	1.17312	0.162487	4.50138
54	0.00536033	109.19	0.401151	1.15409	0.165412	4.23259
55	0.00546114	86.7078	0.408698	1.1326	0.168338	3.98754
56	0.00556196	66.5647	0.416245	1.10798	0.171263	3.76239
57	0.00566277	49.2523	0.423793	1.07958	0.174189	3.55333
58	0.00576358	35.0814	0.43134	1.04687	0.177114	3.35678
59	0.00586439	24.0736	0.438887	1.00965	0.180039	3.16955
60	0.00596521	15.9591	0.446434	0.968129	0.182965	2.98888
61	0.00606602	10.2642	0.453981	0.92304	0.18589	2.81244
62	0.00616683	6.4356	0.461529	0.875674	0.188816	2.63834
