what	T1	W	k
mode	0.00394896	0.197375	0.118605
mean	0.396478	0.406291	0.403317
median	0.00394604	0.250179	0.116413
quantile_50_lower_bound	0.00344814	0.166304	0.0858557
quantile_50_upper_bound	0.00445849	0.42475	0.145679
quantile_90_lower_bound	0.00269553	0.0524415	0.040715
quantile_90_upper_bound	0.00524729	0.647703	0.195367
quantile_95_lower_bound	0.0024881	0.0289945	0.0305206
quantile_95_upper_bound	0.00547567	0.682132	0.208908
quantile_99_lower_bound	0.00213555	0.00503885	0.0164386
quantile_99_upper_bound	0.00588362	0.725347	0.231786
HPD_50_lower_bound	0.00349696	0.099367	0.089474
HPD_50_upper_bound	0.00440097	0.302931	0.144811
HPD_90_lower_bound	0.00285408	0.0159176	0.036779
HPD_90_upper_bound	0.00504384	0.658081	0.18873
HPD_95_lower_bound	0.0026228	0.00868661	0.0280549
HPD_95_upper_bound	0.00537594	0.665312	0.20038
HPD_99_lower_bound	0.00224076	0.00127825	0.0133881
HPD_99_upper_bound	0.00565716	0.702909	0.223823
