Sim	T1	k	Antigen_2016	MF_2016
0	0.00813227	0.0385334	13.4933	8.85701
0	0.00813227	0.0385334	13.7369	9.18258
0	0.00813227	0.0385334	13.5018	8.8708
0	0.00813227	0.0385334	13.472	8.79507
0	0.00813227	0.0385334	13.6243	8.95178
1	0.00226301	0.0919766	4.69935	0.425532
1	0.00226301	0.0919766	4.86293	0.4446
1	0.00226301	0.0919766	4.95965	0.43577
1	0.00226301	0.0919766	5.06908	0.509122
1	0.00226301	0.0919766	4.72868	0.39236
2	0.00516218	0.0428662	12.0912	7.14062
2	0.00516218	0.0428662	12.6325	7.45942
2	0.00516218	0.0428662	12.1397	7.03465
2	0.00516218	0.0428662	11.6874	6.74321
2	0.00516218	0.0428662	11.9645	6.94039
3	0.00235969	0.077118	6.51805	1.16915
3	0.00235969	0.077118	5.52275	0.874636
3	0.00235969	0.077118	5.82892	0.913942
3	0.00235969	0.077118	5.81482	0.94932
3	0.00235969	0.077118	5.58691	0.828104
4	0.00281555	0.0326581	7.9694	3.99115
4	0.00281555	0.0326581	8.15255	4.1521
4	0.00281555	0.0326581	8.22062	4.2607
4	0.00281555	0.0326581	8.27733	4.19143
4	0.00281555	0.0326581	7.735	3.72829
5	0.00504147	0.032915	10.7157	6.60838
5	0.00504147	0.032915	10.5777	6.40867
5	0.00504147	0.032915	10.6447	6.40449
5	0.00504147	0.032915	10.9081	6.63539
5	0.00504147	0.032915	10.7199	6.48068
6	0.000729533	0.0992913	2.5308	0.0184461
6	0.000729533	0.0992913	2.54952	0.0276921
6	0.000729533	0.0992913	2.53183	0.0333136
6	0.000729533	0.0992913	2.50751	0.0165938
6	0.000729533	0.0992913	2.65444	0.0166365
7	0.00942684	0.0912146	21.0745	12.1605
7	0.00942684	0.0912146	20.1689	11.2587
7	0.00942684	0.0912146	19.8858	11.0397
7	0.00942684	0.0912146	20.2103	11.3684
7	0.00942684	0.0912146	19.9284	11.1415
8	0.00529473	0.05918	12.7359	6.31439
8	0.00529473	0.05918	13.4535	7.2176
8	0.00529473	0.05918	12.8777	6.71079
8	0.00529473	0.05918	13.0857	6.88887
8	0.00529473	0.05918	13.0161	6.84794
9	0.00295963	0.0520162	8.62878	3.42896
9	0.00295963	0.0520162	8.22903	2.8759
9	0.00295963	0.0520162	8.66725	3.35363
9	0.00295963	0.0520162	8.78595	3.46556
9	0.00295963	0.0520162	8.66747	3.32995
10	0.00307016	0.0253014	7.68663	4.32569
10	0.00307016	0.0253014	7.75039	4.27678
10	0.00307016	0.0253014	7.8325	4.41354
10	0.00307016	0.0253014	7.71957	4.22527
10	0.00307016	0.0253014	7.59321	4.22234
11	0.00830853	0.0299061	11.8123	7.97877
11	0.00830853	0.0299061	11.7268	7.9559
11	0.00830853	0.0299061	11.704	7.99336
11	0.00830853	0.0299061	11.7442	7.93392
11	0.00830853	0.0299061	11.6428	7.96698
12	0.0071681	0.0879571	17.1444	8.74995
12	0.0071681	0.0879571	15.9117	7.59895
12	0.0071681	0.0879571	17.3148	8.94646
12	0.0071681	0.0879571	16.4848	8.19879
12	0.0071681	0.0879571	16.9119	8.4532
13	0.0020358	0.0912569	4.49531	0.374456
13	0.0020358	0.0912569	4.38473	0.293423
13	0.0020358	0.0912569	4.57725	0.359905
13	0.0020358	0.0912569	4.45403	0.339214
13	0.0020358	0.0912569	4.48902	0.320115
14	0.00836002	0.0387155	13.6287	9.07718
14	0.00836002	0.0387155	13.4646	8.82719
14	0.00836002	0.0387155	13.6998	9.04714
14	0.00836002	0.0387155	13.8529	9.08924
14	0.00836002	0.0387155	13.697	9.05868
15	0.0046201	0.0439218	11.6176	6.4037
15	0.0046201	0.0439218	11.5616	6.46143
15	0.0046201	0.0439218	11.5744	6.45542
15	0.0046201	0.0439218	10.9436	5.85749
15	0.0046201	0.0439218	10.9056	5.94466
16	0.00107871	0.0480245	3.55905	0.291026
16	0.00107871	0.0480245	3.68671	0.310772
16	0.00107871	0.0480245	3.70528	0.346271
16	0.00107871	0.0480245	3.47948	0.270215
16	0.00107871	0.0480245	3.51686	0.214827
17	0.00431932	0.0495896	11.159	5.65409
17	0.00431932	0.0495896	11.0595	5.56385
17	0.00431932	0.0495896	11.1002	5.67021
17	0.00431932	0.0495896	11.4421	5.83117
17	0.00431932	0.0495896	11.4319	5.90442
18	0.00027933	0.0179426	2.51921	0.114509
18	0.00027933	0.0179426	2.32627	0.0460465
18	0.00027933	0.0179426	2.51966	0.0627607
18	0.00027933	0.0179426	2.3459	0.0701923
18	0.00027933	0.0179426	2.41886	0.0848724
19	0.00711542	0.0618947	15.7921	9.21622
19	0.00711542	0.0618947	15.958	9.26214
19	0.00711542	0.0618947	15.9618	9.50289
19	0.00711542	0.0618947	15.9236	9.35313
19	0.00711542	0.0618947	16.172	9.66856
20	0.00832139	0.0671515	17.9673	10.879
20	0.00832139	0.0671515	17.0003	10.1687
20	0.00832139	0.0671515	17.3586	10.3203
20	0.00832139	0.0671515	17.3619	10.3906
20	0.00832139	0.0671515	18.0078	10.8006
21	0.00447676	0.0465127	11.3479	6.06759
21	0.00447676	0.0465127	11.439	6.16488
21	0.00447676	0.0465127	11.473	6.1447
21	0.00447676	0.0465127	11.1841	6.05093
21	0.00447676	0.0465127	11.4392	6.23169
22	0.0044037	0.0286154	9.27096	5.66271
22	0.0044037	0.0286154	9.59907	5.76682
22	0.0044037	0.0286154	9.3746	5.68717
22	0.0044037	0.0286154	9.51949	5.87865
22	0.0044037	0.0286154	9.50621	5.88224
23	0.00608858	0.0376736	11.929	7.40324
23	0.00608858	0.0376736	12.0296	7.50608
23	0.00608858	0.0376736	12.052	7.50681
23	0.00608858	0.0376736	11.9675	7.5106
23	0.00608858	0.0376736	12.0966	7.44747
24	0.00644649	0.0777684	15.4146	7.71653
24	0.00644649	0.0777684	15.5053	7.77395
24	0.00644649	0.0777684	15.4004	7.58836
24	0.00644649	0.0777684	15.2308	7.51777
24	0.00644649	0.0777684	15.7537	7.97957
25	0.00724581	0.0694284	16.2485	9.01712
25	0.00724581	0.0694284	16.4068	9.19711
25	0.00724581	0.0694284	16.0779	9.0214
25	0.00724581	0.0694284	16.6771	9.20105
25	0.00724581	0.0694284	16.4097	9.23576
26	0.00493573	0.0400889	11.6019	6.88969
26	0.00493573	0.0400889	11.5281	6.51925
26	0.00493573	0.0400889	11.254	6.54327
26	0.00493573	0.0400889	11.2678	6.70206
26	0.00493573	0.0400889	11.5067	6.89438
27	0.00132629	0.0492686	3.83328	0.375377
27	0.00132629	0.0492686	4.05751	0.44491
27	0.00132629	0.0492686	4.11698	0.491689
27	0.00132629	0.0492686	4.37751	0.548112
27	0.00132629	0.0492686	4.56887	0.68856
28	0.00209166	0.0823426	5.11047	0.600906
28	0.00209166	0.0823426	4.60332	0.370041
28	0.00209166	0.0823426	4.81941	0.445011
28	0.00209166	0.0823426	4.85752	0.452163
28	0.00209166	0.0823426	4.70534	0.48402
29	0.00478919	0.01687	7.29305	4.67385
29	0.00478919	0.01687	7.27119	4.6638
29	0.00478919	0.01687	7.42477	4.83249
29	0.00478919	0.01687	7.23082	4.66469
29	0.00478919	0.01687	7.14101	4.56729
30	0.00337247	0.0232946	7.87888	4.57722
30	0.00337247	0.0232946	7.75087	4.51781
30	0.00337247	0.0232946	7.54911	4.3779
30	0.00337247	0.0232946	7.5692	4.41862
30	0.00337247	0.0232946	7.70126	4.48917
31	0.000342138	0.0734452	2.35631	0.00924044
31	0.000342138	0.0734452	2.26412	0.0129378
31	0.000342138	0.0734452	2.26856	0.00740151
31	0.000342138	0.0734452	2.31379	0.00925515
31	0.000342138	0.0734452	2.22836	0.00370466
32	0.00419618	0.0882218	9.68566	2.80832
32	0.00419618	0.0882218	10.3209	3.19959
32	0.00419618	0.0882218	10.0458	3.04686
32	0.00419618	0.0882218	9.60457	2.7299
32	0.00419618	0.0882218	10.0539	2.88969
33	0.00806935	0.0700531	17.552	10.2408
33	0.00806935	0.0700531	17.8819	10.4594
33	0.00806935	0.0700531	17.386	10.0845
33	0.00806935	0.0700531	17.0895	9.77626
33	0.00806935	0.0700531	17.5546	10.2004
34	0.00551756	0.0762262	13.867	6.31878
34	0.00551756	0.0762262	13.4012	6.13263
34	0.00551756	0.0762262	14.1406	6.57001
34	0.00551756	0.0762262	13.7796	6.51853
34	0.00551756	0.0762262	14.1183	6.79597
35	0.00293527	0.029979	8.06163	4.27899
35	0.00293527	0.029979	7.74158	3.85602
35	0.00293527	0.029979	7.88302	4.15199
35	0.00293527	0.029979	8.27642	4.32279
35	0.00293527	0.029979	8.1487	4.31445
36	0.00901796	0.0588682	17.4848	11.0078
36	0.00901796	0.0588682	17.33	10.9177
36	0.00901796	0.0588682	17.1862	10.7389
36	0.00901796	0.0588682	17.6958	11.1663
36	0.00901796	0.0588682	17.5167	10.9959
37	0.00742265	0.0682031	16.466	9.48012
37	0.00742265	0.0682031	16.5359	9.44095
37	0.00742265	0.0682031	17.0664	9.72322
37	0.00742265	0.0682031	16.827	9.62705
37	0.00742265	0.0682031	16.8431	9.60409
38	0.00676442	0.0546878	14.7999	8.67921
38	0.00676442	0.0546878	14.945	8.8139
38	0.00676442	0.0546878	14.4961	8.50304
38	0.00676442	0.0546878	14.8913	8.87851
