number	T1	density	k	density
1	5.84682e-06	3.9616e-30	0.0102396	4.26747e-23
2	0.000106521	3.63403e-27	0.0111449	4.84028e-22
3	0.000207195	2.38665e-24	0.0120501	5.17175e-21
4	0.00030787	1.12442e-21	0.0129554	5.20605e-20
5	0.000408544	3.80807e-19	0.0138606	4.93767e-19
6	0.000509218	9.29042e-17	0.0147659	4.4129e-18
7	0.000609892	1.63604e-14	0.0156711	3.71678e-17
8	0.000710567	2.08342e-12	0.0165764	2.95059e-16
9	0.000811241	1.92159e-10	0.0174816	2.2081e-15
10	0.000911915	1.2853e-08	0.0183869	1.55803e-14
11	0.00101259	6.24098e-07	0.0192921	1.03673e-13
12	0.00111326	2.20181e-05	0.0201974	6.50729e-13
13	0.00121394	0.000564874	0.0211027	3.85385e-12
14	0.00131461	0.0105481	0.0220079	2.15423e-11
15	0.00141529	0.143526	0.0229132	1.13698e-10
16	0.00151596	1.42489	0.0238184	5.66849e-10
17	0.00161664	10.3357	0.0247237	2.67086e-09
18	0.00171731	54.8526	0.0256289	1.19002e-08
19	0.00181798	213.244	0.0265342	5.01715e-08
20	0.00191866	607.814	0.0274394	2.00302e-07
21	0.00201933	1270.96	0.0283447	7.57867e-07
22	0.00212001	1950.37	0.0292499	2.72006e-06
23	0.00222068	2197.1	0.0301552	9.26972e-06
24	0.00232136	1817.62	0.0310605	3.00269e-05
25	0.00242203	1104.96	0.0319657	9.25504e-05
26	0.0025227	494.038	0.032871	0.000271729
27	0.00262338	162.621	0.0337762	0.000760737
28	0.00272405	39.4436	0.0346815	0.00203278
29	0.00282473	7.05314	0.0355867	0.00518887
30	0.0029254	0.929769	0.036492	0.0126614
31	0.00302608	0.0902983	0.0373972	0.0295502
32	0.00312675	0.00645385	0.0383025	0.0659891
33	0.00322742	0.000339019	0.0392077	0.141038
34	0.0033281	1.30725e-05	0.040113	0.288553
35	0.00342877	3.69668e-07	0.0410183	0.565195
36	0.00352945	7.66232e-09	0.0419235	1.06002
37	0.00363012	1.16404e-10	0.0428288	1.90395
38	0.0037308	1.29644e-12	0.043734	3.27599
39	0.00383147	1.05909e-14	0.0446393	5.40174
40	0.00393214	6.34982e-17	0.0455445	8.53939
41	0.00403282	2.79544e-19	0.0464498	12.9494
42	0.00413349	9.03898e-22	0.047355	18.8467
43	0.00423417	2.14652e-24	0.0482603	26.339
44	0.00433484	3.74147e-27	0.0491655	35.3604
45	0.00443552	4.78106e-30	0.0500708	45.6138
46	0.00453619	4.47071e-33	0.0509761	56.5406
47	0.00463686	3.05156e-36	0.0518813	67.3361
48	0.00473754	1.51588e-39	0.0527866	77.0221
49	0.00483821	5.46239e-43	0.0536918	84.5773
50	0.00493889	1.42303e-46	0.0545971	89.108
51	0.00503956	2.67146e-50	0.0555023	90.022
52	0.00514024	3.60323e-54	0.0564076	87.1605
53	0.00524091	3.48255e-58	0.0573128	80.8452
54	0.00534158	2.40647e-62	0.0582181	71.8224
55	0.00544226	1.18664e-66	0.0591233	61.1151
56	0.00554293	4.16898e-71	0.0600286	49.8257
57	0.00564361	1.04224e-75	0.0609339	38.9433
58	0.00574428	1.85215e-80	0.0618391	29.2058
59	0.00584495	2.33774e-85	0.0627444	21.0399
60	0.00594563	2.0943e-90	0.0636496	14.5783
61	0.0060463	1.33096e-95	0.0645549	9.72793
62	0.00614698	5.99761e-101	0.0654601	6.25886
63	0.00624765	1.91569e-106	0.0663654	3.88618
64	0.00634833	4.33585e-112	0.0672706	2.32979
65	0.006449	6.95209e-118	0.0681759	1.34862
66	0.00654968	7.89512e-124	0.0690811	0.753419
67	0.00665035	6.34932e-130	0.0699864	0.405874
68	0.00675102	3.61539e-136	0.0708916	0.210605
69	0.0068517	1.45743e-142	0.0717969	0.105132
70	0.00695237	4.15886e-149	0.0727022	0.0504289
71	0.00705305	8.39991e-156	0.0736074	0.0232199
72	0.00715372	1.20075e-162	0.0745127	0.0102551
73	0.00725439	1.21471e-169	0.0754179	0.00434212
74	0.00735507	8.69587e-177	0.0763232	0.00176219
75	0.00745574	4.40499e-184	0.0772284	0.000685503
76	0.00755642	1.57887e-191	0.0781337	0.000255678
77	0.00765709	4.00407e-199	0.0790389	9.14739e-05
78	0.00775777	7.18441e-207	0.0799442	3.141e-05
79	0.00785844	9.12013e-215	0.0808495	1.03581e-05
80	0.00795911	8.19064e-223	0.0817547	3.28251e-06
81	0.00805979	5.20391e-231	0.08266	1.00022e-06
82	0.00816046	2.33898e-239	0.0835652	2.93185e-07
83	0.00826114	7.43703e-248	0.0844705	8.26909e-08
84	0.00836181	1.67278e-256	0.0853757	2.24417e-08
85	0.00846249	2.66159e-265	0.086281	5.85906e-09
86	0.00856316	2.99568e-274	0.0871862	1.47076e-09
87	0.00866384	2.38506e-283	0.0880915	3.54685e-10
88	0.00876451	1.34321e-292	0.0889967	8.20843e-11
89	0.00886518	5.35095e-302	0.089902	1.82068e-11
90	0.00896586	1.50783e-311	0.0908073	3.86489e-12
91	0.00906653	2.9891e-321	0.0917125	7.83994e-13
92	0.00916721	0	0.0926178	1.51737e-13
93	0.00926788	0	0.093523	2.79778e-14
94	0.00936855	0	0.0944283	4.90753e-15
95	0.00946923	0	0.0953335	8.17822e-16
96	0.0095699	0	0.0962388	1.29323e-16
97	0.00967058	0	0.097144	1.93839e-17
98	0.00977125	0	0.0980493	2.7513e-18
99	0.00987193	0	0.0989545	3.69488e-19
100	0.0099726	0	0.0998598	4.69145e-20
