Sim	T1	k	Ratio_2014	Antigen_2016	MF_2016
0	0.00813227	0.0385334	0.565893	13.4933	8.85701
0	0.00813227	0.0385334	0.575025	13.7369	9.18258
0	0.00813227	0.0385334	0.582876	13.5018	8.8708
0	0.00813227	0.0385334	0.558107	13.472	8.79507
0	0.00813227	0.0385334	0.567381	13.6243	8.95178
1	0.00226301	0.0919766	0.0936759	4.69935	0.425532
1	0.00226301	0.0919766	0.0994948	4.86293	0.4446
1	0.00226301	0.0919766	0.0852399	4.95965	0.43577
1	0.00226301	0.0919766	0.0884586	5.06908	0.509122
1	0.00226301	0.0919766	0.0956488	4.72868	0.39236
2	0.00516218	0.0428662	0.459638	12.0912	7.14062
2	0.00516218	0.0428662	0.465008	12.6325	7.45942
2	0.00516218	0.0428662	0.458609	12.1397	7.03465
2	0.00516218	0.0428662	0.420663	11.6874	6.74321
2	0.00516218	0.0428662	0.436838	11.9645	6.94039
3	0.00235969	0.077118	0.141753	6.51805	1.16915
3	0.00235969	0.077118	0.115666	5.52275	0.874636
3	0.00235969	0.077118	0.124192	5.82892	0.913942
3	0.00235969	0.077118	0.12597	5.81482	0.94932
3	0.00235969	0.077118	0.117161	5.58691	0.828104
4	0.00281555	0.0326581	0.328092	7.9694	3.99115
4	0.00281555	0.0326581	0.358468	8.15255	4.1521
4	0.00281555	0.0326581	0.367979	8.22062	4.2607
4	0.00281555	0.0326581	0.36519	8.27733	4.19143
4	0.00281555	0.0326581	0.327516	7.735	3.72829
5	0.00504147	0.032915	0.509123	10.7157	6.60838
5	0.00504147	0.032915	0.495658	10.5777	6.40867
5	0.00504147	0.032915	0.486883	10.6447	6.40449
5	0.00504147	0.032915	0.495086	10.9081	6.63539
5	0.00504147	0.032915	0.490372	10.7199	6.48068
6	0.000729533	0.0992913	0.0469432	2.5308	0.0184461
6	0.000729533	0.0992913	0.0474667	2.54952	0.0276921
6	0.000729533	0.0992913	0.0464989	2.53183	0.0333136
6	0.000729533	0.0992913	0.040327	2.50751	0.0165938
6	0.000729533	0.0992913	0.0350602	2.65444	0.0166365
7	0.00942684	0.0912146	0.410152	21.0745	12.1605
7	0.00942684	0.0912146	0.377849	20.1689	11.2587
7	0.00942684	0.0912146	0.383361	19.8858	11.0397
7	0.00942684	0.0912146	0.394822	20.2103	11.3684
7	0.00942684	0.0912146	0.384292	19.9284	11.1415
8	0.00529473	0.05918	0.330141	12.7359	6.31439
8	0.00529473	0.05918	0.37392	13.4535	7.2176
8	0.00529473	0.05918	0.348456	12.8777	6.71079
8	0.00529473	0.05918	0.36237	13.0857	6.88887
8	0.00529473	0.05918	0.364283	13.0161	6.84794
9	0.00295963	0.0520162	0.248062	8.62878	3.42896
9	0.00295963	0.0520162	0.220783	8.22903	2.8759
9	0.00295963	0.0520162	0.239181	8.66725	3.35363
9	0.00295963	0.0520162	0.266381	8.78595	3.46556
9	0.00295963	0.0520162	0.234086	8.66747	3.32995
10	0.00307016	0.0253014	0.408719	7.68663	4.32569
10	0.00307016	0.0253014	0.414109	7.75039	4.27678
10	0.00307016	0.0253014	0.426743	7.8325	4.41354
10	0.00307016	0.0253014	0.394996	7.71957	4.22527
10	0.00307016	0.0253014	0.404193	7.59321	4.22234
11	0.00830853	0.0299061	0.598876	11.8123	7.97877
11	0.00830853	0.0299061	0.604426	11.7268	7.9559
11	0.00830853	0.0299061	0.613917	11.704	7.99336
11	0.00830853	0.0299061	0.612402	11.7442	7.93392
11	0.00830853	0.0299061	0.61025	11.6428	7.96698
12	0.0071681	0.0879571	0.340364	17.1444	8.74995
12	0.0071681	0.0879571	0.302191	15.9117	7.59895
12	0.0071681	0.0879571	0.340676	17.3148	8.94646
12	0.0071681	0.0879571	0.312974	16.4848	8.19879
12	0.0071681	0.0879571	0.331725	16.9119	8.4532
13	0.0020358	0.0912569	0.0885874	4.49531	0.374456
13	0.0020358	0.0912569	0.0789368	4.38473	0.293423
13	0.0020358	0.0912569	0.08383	4.57725	0.359905
13	0.0020358	0.0912569	0.0824868	4.45403	0.339214
13	0.0020358	0.0912569	0.0853951	4.48902	0.320115
14	0.00836002	0.0387155	0.577294	13.6287	9.07718
14	0.00836002	0.0387155	0.561545	13.4646	8.82719
14	0.00836002	0.0387155	0.561409	13.6998	9.04714
14	0.00836002	0.0387155	0.567414	13.8529	9.08924
14	0.00836002	0.0387155	0.573292	13.697	9.05868
15	0.0046201	0.0439218	0.402645	11.6176	6.4037
15	0.0046201	0.0439218	0.409367	11.5616	6.46143
15	0.0046201	0.0439218	0.410156	11.5744	6.45542
15	0.0046201	0.0439218	0.380393	10.9436	5.85749
15	0.0046201	0.0439218	0.39604	10.9056	5.94466
16	0.00107871	0.0480245	0.0863208	3.55905	0.291026
16	0.00107871	0.0480245	0.0834492	3.68671	0.310772
16	0.00107871	0.0480245	0.0921173	3.70528	0.346271
16	0.00107871	0.0480245	0.0764512	3.47948	0.270215
16	0.00107871	0.0480245	0.0718258	3.51686	0.214827
17	0.00431932	0.0495896	0.359251	11.159	5.65409
17	0.00431932	0.0495896	0.347734	11.0595	5.56385
17	0.00431932	0.0495896	0.360559	11.1002	5.67021
17	0.00431932	0.0495896	0.347475	11.4421	5.83117
17	0.00431932	0.0495896	0.367745	11.4319	5.90442
18	0.00027933	0.0179426	0.0620767	2.51921	0.114509
18	0.00027933	0.0179426	0.0513419	2.32627	0.0460465
18	0.00027933	0.0179426	0.0566461	2.51966	0.0627607
18	0.00027933	0.0179426	0.0602125	2.3459	0.0701923
18	0.00027933	0.0179426	0.0636979	2.41886	0.0848724
19	0.00711542	0.0618947	0.436083	15.7921	9.21622
19	0.00711542	0.0618947	0.433328	15.958	9.26214
19	0.00711542	0.0618947	0.449315	15.9618	9.50289
19	0.00711542	0.0618947	0.464925	15.9236	9.35313
19	0.00711542	0.0618947	0.456072	16.172	9.66856
20	0.00832139	0.0671515	0.47034	17.9673	10.879
20	0.00832139	0.0671515	0.449834	17.0003	10.1687
20	0.00832139	0.0671515	0.439187	17.3586	10.3203
20	0.00832139	0.0671515	0.445845	17.3619	10.3906
20	0.00832139	0.0671515	0.456038	18.0078	10.8006
21	0.00447676	0.0465127	0.379454	11.3479	6.06759
21	0.00447676	0.0465127	0.382444	11.439	6.16488
21	0.00447676	0.0465127	0.385452	11.473	6.1447
21	0.00447676	0.0465127	0.377773	11.1841	6.05093
21	0.00447676	0.0465127	0.393619	11.4392	6.23169
22	0.0044037	0.0286154	0.500742	9.27096	5.66271
22	0.0044037	0.0286154	0.50012	9.59907	5.76682
22	0.0044037	0.0286154	0.484856	9.3746	5.68717
22	0.0044037	0.0286154	0.495402	9.51949	5.87865
22	0.0044037	0.0286154	0.491653	9.50621	5.88224
23	0.00608858	0.0376736	0.495519	11.929	7.40324
23	0.00608858	0.0376736	0.5233	12.0296	7.50608
23	0.00608858	0.0376736	0.512951	12.052	7.50681
23	0.00608858	0.0376736	0.519292	11.9675	7.5106
23	0.00608858	0.0376736	0.511129	12.0966	7.44747
24	0.00644649	0.0777684	0.328828	15.4146	7.71653
24	0.00644649	0.0777684	0.330185	15.5053	7.77395
24	0.00644649	0.0777684	0.327488	15.4004	7.58836
24	0.00644649	0.0777684	0.334219	15.2308	7.51777
24	0.00644649	0.0777684	0.353153	15.7537	7.97957
25	0.00724581	0.0694284	0.398048	16.2485	9.01712
25	0.00724581	0.0694284	0.402154	16.4068	9.19711
25	0.00724581	0.0694284	0.394483	16.0779	9.0214
25	0.00724581	0.0694284	0.393766	16.6771	9.20105
25	0.00724581	0.0694284	0.393135	16.4097	9.23576
26	0.00493573	0.0400889	0.466237	11.6019	6.88969
26	0.00493573	0.0400889	0.439035	11.5281	6.51925
26	0.00493573	0.0400889	0.454054	11.254	6.54327
26	0.00493573	0.0400889	0.450535	11.2678	6.70206
26	0.00493573	0.0400889	0.461488	11.5067	6.89438
27	0.00132629	0.0492686	0.0927419	3.83328	0.375377
27	0.00132629	0.0492686	0.0998217	4.05751	0.44491
27	0.00132629	0.0492686	0.113316	4.11698	0.491689
27	0.00132629	0.0492686	0.110417	4.37751	0.548112
27	0.00132629	0.0492686	0.120955	4.56887	0.68856
28	0.00209166	0.0823426	0.106407	5.11047	0.600906
28	0.00209166	0.0823426	0.0884271	4.60332	0.370041
28	0.00209166	0.0823426	0.0899308	4.81941	0.445011
28	0.00209166	0.0823426	0.0942511	4.85752	0.452163
28	0.00209166	0.0823426	0.097852	4.70534	0.48402
