Sim	T1	k	Antigen_2016	MF_2016
0	0.00518027	0.0309598	8.6771	4.68308
0	0.00518027	0.0309598	8.53388	4.53086
0	0.00518027	0.0309598	8.40089	4.65383
0	0.00518027	0.0309598	8.55025	4.62724
0	0.00518027	0.0309598	8.52241	4.59694
1	0.00990348	0.0466059	13.2768	7.83401
1	0.00990348	0.0466059	13.1763	7.77545
1	0.00990348	0.0466059	13.0795	7.66653
1	0.00990348	0.0466059	12.9447	7.76754
1	0.00990348	0.0466059	13.1893	7.82982
2	0.00508813	0.0509637	10.2448	4.68023
2	0.00508813	0.0509637	10.1441	4.65382
2	0.00508813	0.0509637	9.97883	4.57885
2	0.00508813	0.0509637	10.1824	4.43434
2	0.00508813	0.0509637	10.0479	4.61382
3	0.000286734	0.0635719	2.22181	0.00369072
3	0.000286734	0.0635719	2.21193	0.0073547
3	0.000286734	0.0635719	2.20762	0.00553751
3	0.000286734	0.0635719	2.20147	0.0073813
3	0.000286734	0.0635719	2.12998	0.00184894
4	0.000404343	0.0368658	2.41772	0.0240109
4	0.000404343	0.0368658	2.46868	0.0295208
4	0.000404343	0.0368658	2.35879	0.023919
4	0.000404343	0.0368658	2.29911	0.0166602
4	0.000404343	0.0368658	2.39267	0.0147468
5	0.00915317	0.0814978	15.981	8.10113
5	0.00915317	0.0814978	15.2296	7.31455
5	0.00915317	0.0814978	15.2957	7.40228
5	0.00915317	0.0814978	15.4395	7.61929
5	0.00915317	0.0814978	15.902	7.83015
6	0.00483111	0.0696055	9.24553	2.95952
6	0.00483111	0.0696055	9.50955	3.4034
6	0.00483111	0.0696055	9.86891	3.44719
6	0.00483111	0.0696055	9.42989	2.95941
6	0.00483111	0.0696055	9.60324	3.50548
7	0.00628878	0.0811667	11.6784	4.31238
7	0.00628878	0.0811667	12.0211	4.79068
7	0.00628878	0.0811667	11.934	4.71268
7	0.00628878	0.0811667	12.0562	4.71891
7	0.00628878	0.0811667	11.5212	4.45212
8	0.00289399	0.0979844	5.14462	0.525566
8	0.00289399	0.0979844	5.40151	0.512403
8	0.00289399	0.0979844	4.95451	0.382823
8	0.00289399	0.0979844	5.44385	0.5442
