number	T1	density	k	density
1	6.7238e-05	7.89492e-51	0.0101155	2.66024e-27
2	0.00016714	7.35833e-47	0.0110229	4.45118e-26
3	0.000267042	4.77794e-43	0.0119303	6.96059e-25
4	0.000366944	2.16455e-39	0.0128376	1.01737e-23
5	0.000466846	6.85252e-36	0.013745	1.39006e-22
6	0.000566748	1.51846e-32	0.0146524	1.77571e-21
7	0.00066665	2.35898e-29	0.0155598	2.12114e-20
8	0.000766552	2.57315e-26	0.0164671	2.36982e-19
9	0.000866454	1.97318e-23	0.0173745	2.47695e-18
10	0.000966356	1.06471e-20	0.0182819	2.42272e-17
11	0.00106626	4.04482e-18	0.0191893	2.21833e-16
12	0.00116616	1.08206e-15	0.0200966	1.90224e-15
13	0.00126606	2.03814e-13	0.021004	1.52839e-14
14	0.00136596	2.70211e-11	0.0219114	1.15129e-13
15	0.00146587	2.52051e-09	0.0228188	8.13576e-13
16	0.00156577	1.65366e-07	0.0237261	5.39765e-12
17	0.00166567	7.63014e-06	0.0246335	3.36488e-11
18	0.00176557	0.000247661	0.0255409	1.97285e-10
19	0.00186547	0.00565904	0.0264483	1.08894e-09
20	0.00196538	0.0911568	0.0273556	5.66421e-09
21	0.00206528	1.0374	0.028263	2.77934e-08
22	0.00216518	8.36739	0.0291704	1.28773e-07
23	0.00226508	48.0383	0.0300778	5.6385e-07
24	0.00236498	197.384	0.0309851	2.33485e-06
25	0.00246489	584.16	0.0318925	9.14816e-06
26	0.00256479	1253.39	0.0327999	3.39246e-05
27	0.00266469	1960.43	0.0337073	0.000119079
28	0.00276459	2241.89	0.0346146	0.000395581
29	0.0028645	1873.47	0.035522	0.00124333
30	0.0029644	1139.55	0.0364294	0.00369582
31	0.0030643	501.364	0.0373368	0.0103847
32	0.0031642	158.45	0.0382441	0.0275692
33	0.0032641	35.7477	0.0391515	0.0691194
34	0.00336401	5.73084	0.0400589	0.16359
35	0.00346391	0.651158	0.0409663	0.365408
36	0.00356381	0.052414	0.0418737	0.770197
37	0.00366371	0.00299334	0.042781	1.53192
38	0.00376361	0.000121673	0.0436884	2.87589
39	0.00386352	3.53549e-06	0.0445958	5.0978
40	0.00396342	7.37901e-08	0.0455032	8.53785
41	0.00406332	1.11103e-09	0.0464105	13.5227
42	0.00416322	1.2106e-11	0.0473179	20.2794
43	0.00426312	9.56177e-14	0.0482253	28.8398
44	0.00436303	5.47637e-16	0.0491327	38.9663
45	0.00446293	2.27362e-18	0.05004	50.129
46	0.00456283	6.83953e-21	0.0509474	61.5494
47	0.00466273	1.4904e-23	0.0518548	72.2992
48	0.00476263	2.352e-26	0.0527622	81.4244
49	0.00486254	2.68612e-29	0.0536695	88.0612
50	0.00496244	2.21649e-32	0.0545769	91.5298
51	0.00506234	1.31787e-35	0.0554843	91.4088
52	0.00516224	5.62502e-39	0.0563917	87.6038
53	0.00526214	1.71608e-42	0.057299	80.4008
54	0.00536205	3.72535e-46	0.0582064	70.4782
55	0.00546195	5.73e-50	0.0591138	58.839
56	0.00556185	6.22062e-54	0.0600212	46.6535
57	0.00566175	4.75075e-58	0.0609285	35.046
58	0.00576165	2.54516e-62	0.0618359	24.8914
59	0.00586156	9.54255e-67	0.0627433	16.6905
60	0.00596146	2.49885e-71	0.0636507	10.556
61	0.00606136	4.56255e-76	0.064558	6.29502
62	0.00616126	5.80017e-81	0.0654654	3.54058
63	0.00626116	5.12746e-86	0.0663728	1.87978
64	0.00636107	3.14869e-91	0.0672802	0.943472
65	0.00646097	1.34191e-96	0.0681875	0.44855
66	0.00656087	3.96582e-102	0.0690949	0.202496
67	0.00666077	8.12191e-108	0.0700023	0.0870418
68	0.00676067	1.15196e-113	0.0709097	0.0357207
69	0.00686058	1.13093e-119	0.0718171	0.0140289
70	0.00696048	7.68179e-126	0.0727244	0.00528177
71	0.00706038	3.6086e-132	0.0736318	0.00190781
72	0.00716028	1.17196e-138	0.0745392	0.000661034
73	0.00726018	2.63062e-145	0.0754466	0.000219495
74	0.00736009	4.07995e-152	0.0763539	6.97403e-05
75	0.00745999	4.37123e-159	0.0772613	2.11675e-05
76	0.00755989	3.23458e-166	0.0781687	6.12775e-06
77	0.00765979	1.6528e-173	0.0790761	1.68984e-06
78	0.00775969	5.83101e-181	0.0799834	4.43572e-07
79	0.0078596	1.42014e-188	0.0808908	1.10794e-07
80	0.0079595	2.38742e-196	0.0817982	2.63352e-08
81	0.0080594	2.77009e-204	0.0827056	5.95899e-09
82	0.0081593	2.21813e-212	0.0836129	1.28421e-09
83	0.00825921	1.22567e-220	0.0845203	2.63708e-10
84	0.00835911	4.67327e-229	0.0854277	5.16136e-11
85	0.00845901	1.22943e-237	0.0863351	9.62878e-12
86	0.00855891	2.23153e-246	0.0872424	1.71162e-12
87	0.00865881	2.79441e-255	0.0881498	2.89724e-13
88	0.00875872	2.41408e-264	0.0890572	4.66519e-14
89	0.00885862	1.4387e-273	0.0899646	7.13705e-15
90	0.00895852	5.91472e-283	0.0908719	1.03589e-15
91	0.00905842	1.67737e-292	0.0917793	1.42426e-16
92	0.00915832	3.28127e-302	0.0926867	1.85218e-17
93	0.00925823	4.42757e-312	0.0935941	2.27484e-18
94	0.00935813	4.10074e-322	0.0945014	2.63503e-19
95	0.00945803	0	0.0954088	2.87498e-20
96	0.00955793	0	0.0963162	2.9512e-21
97	0.00965783	0	0.0972236	2.84733e-22
98	0.00975774	0	0.0981309	2.57969e-23
99	0.00985764	0	0.0990383	2.19308e-24
100	0.00995754	0	0.0999457	1.74827e-25
