what	T1	W	k
mode	0.00515248	0.151478	0.161992
mean	0.479896	0.408385	0.486202
median	0.00482642	0.236049	0.144043
quantile_50_lower_bound	0.0042575	0.148611	0.111949
quantile_50_upper_bound	0.00528471	0.424415	0.168042
quantile_90_lower_bound	0.00361414	0.0718087	0.0806742
quantile_90_upper_bound	0.00581381	0.701209	0.195041
quantile_95_lower_bound	0.00343036	0.0514976	0.0717112
quantile_95_upper_bound	0.00598541	0.722272	0.204335
quantile_99_lower_bound	0.00309942	0.0188168	0.0558863
quantile_99_upper_bound	0.00634249	0.742168	0.226056
HPD_50_lower_bound	0.0046459	0.0835289	0.10631
HPD_50_upper_bound	0.0053578	0.264796	0.176804
HPD_90_lower_bound	0.00374342	0.0449915	0.0803139
HPD_90_upper_bound	0.00565775	0.749458	0.194042
HPD_95_lower_bound	0.00351931	0.037769	0.0745361
HPD_95_upper_bound	0.00588186	0.749119	0.20274
HPD_99_lower_bound	0.00321704	0.03054	0.0540826
HPD_99_upper_bound	0.00628456	0.748787	0.220274
