X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316
43,5081,5395,23946,23751,23328,22765,26932,28912,29211,28103,28309,27817,26778,26636,26267,25844,25275,26035,24746,25429,25198,25448,24943,25096,24225,24735,24269,24019,24341,23727,23588,23889,24455,24153,23841,23486,23933,28326,28128,1673,511,219,0,494,10918,10548,10035,9917,9692,9204,9701,8966,9261,8926,8462,8849,4918,2294,11114,10308,12043,5609,11385,6281,13071,13111,12664,12939,12247,13027,12349,12694,23390,22160,22502,21295,21627,21882,22166,21655,15445,25077,25189,24193,24532,25422,24871,24711,24415,23850,29950,29822,30947,30594,31265,30393,30113,33029,33138,33112,32509,30771,30954,30877,31257,30680,30847,31228,31532,31188,26847,25837,26461,25001,26712,23867,24816,25002,27011,24323,26352,23435,26183,21140,20299,20533,20689,20871,18238,19572,20107,20459,19882,19676,18691,20312,19614,19432,18873,18618,17931,18336,17383,18200,13532,13777,13712,14011,13559,12612,14277,9563,10549,9808,3082,3385,4002,2752,2965,2844,3097,2224,1289,1472,3072,2706,2292,2657,3330,3556,3324,1903,2405,5289,5761,7056,7425,10516,11076,24360,25015,25532,25810,25445,25368,29833,32596,33011,32412,15447,14493,15077,14823,14453,13381,14281,13792,13972,13589,12883,13305,9135,9449,9150,25278,24808,24478,24504,24291,24182,24680,24663,24686,23515,25075,24374,25184,23979,24456,24907,24642,25016,24330,24809,23701,23562,24050,24710,24566,24590,24052,23239,23166,23606,24160,23004,23233,22651,22821,23450,22332,23804,22408,22994,22069,23573,22776,21355,23480,22215,22456,21978,23255,22423,22076,21518,21664,20503,22185,22508,20940,21780,22181,21565,20485,21928,21807,21897,20455,33065,26614,26231,25943,26068,25238,24354,25081,24676,24891,27814,27967,28203,28585,16798,17711,17818,17533,30582,30205,31025,30420,29399,29578,28897,29454,29028,30388,30678,29173,28724,29955,29063,28754,29189,30102,29563,30258,29449,29827,29671,29279,29739,29694,29289,29427,28849
44,4979,5294,24439,24245,23822,23258,27426,29406,29705,28597,28802,28311,27272,27130,26761,26338,25769,26529,25240,25923,25692,25942,25436,25589,24719,25229,24762,24512,24835,24221,24082,24382,24949,24647,24334,23979,24426,28819,28622,1775,787,667,494,0,11412,11041,10529,10411,10186,9698,10194,9459,9755,9420,8956,9343,5411,2192,11607,10801,12537,6103,11878,6775,13565,13604,13158,13433,12741,13521,12843,13188,23883,22654,22996,21788,22121,22376,22660,22149,15939,25571,25682,24687,25026,25916,25365,25205,24909,24343,30444,30315,31440,31088,31759,30887,30607,33522,33631,33606,33003,31264,31448,31371,31751,31173,31340,31722,32026,31682,27341,26331,26954,25494,27205,24361,25310,25495,27504,24816,26845,23928,26677,21634,20793,21027,21182,21364,18731,20065,20600,20953,20376,20169,19185,20806,20107,19926,19366,19111,18424,18830,17876,18693,14026,14271,14205,14504,14053,13106,14771,10057,11043,10302,3576,3878,4496,3245,3458,3338,3590,2717,1573,1370,2578,2604,2190,2311,2836,3063,2830,1410,2507,5391,5863,7416,7527,10618,11178,24853,25509,26026,26303,25939,25861,30327,33089,33504,32906,15941,14987,15571,15317,14947,13875,14774,14285,14465,14082,13376,13799,9629,9943,9644,25772,25302,24972,24998,24785,24676,25174,25157,25180,24009,25569,24867,25677,24472,24950,25401,25136,25510,24824,25302,24194,24056,24543,25204,25060,25084,24546,23732,23660,24100,24654,23497,23727,23145,23314,23944,22825,24298,22902,23488,22562,24066,23269,21849,23974,22708,22950,22471,23749,22917,22569,22012,22157,20996,22679,23002,21434,22273,22675,22059,20979,22421,22301,22391,20949,33559,27108,26725,26437,26562,25732,24848,25575,25169,25385,28308,28460,28696,29078,17291,18204,18312,18027,31076,30699,31519,30914,29893,30072,29390,29948,29521,30882,31172,29667,29218,30449,29557,29248,29683,30596,30057,30751,29943,30321,30165,29773,30233,30188,29782,29921,29343
45,11879,11517,13027,12833,12410,11846,16014,17994,18293,17184,17390,16899,15860,15718,15349,14926,14357,15117,13828,14511,14280,14530,14024,14177,13307,13817,13350,13100,13423,12809,12670,12970,13537,13235,12922,12567,13014,17407,17210,10432,10625,10745,10918,11412,0,706,1208,1438,1594,2005,2933,2245,2554,2452,2456,2070,6001,11369,4519,4056,5089,5309,4677,4637,3754,4265,3724,4020,3373,4974,2391,3152,12471,11242,11584,10376,10709,10964,11248,10737,4527,14159,14270,13275,13614,14504,13953,13793,13497,12931,19031,18903,20028,19676,20347,19475,19195,22110,22219,22194,21590,19852,20036,19959,20338,19761,19928,20310,20613,20270,15928,14919,15542,14082,15793,12948,13898,14083,16092,13404,15433,12516,15265,10222,9381,9615,9770,9952,7319,8653,9188,9541,8964,8757,7773,9394,8695,8514,7954,7699,7012,7418,6464,7281,2614,2859,2793,3092,2641,2223,3359,1355,412,1110,7836,7534,6917,8167,7954,8074,7822,8695,9839,10281,13990,12851,13099,13575,14248,14475,14242,12822,9253,6854,7148,3997,4307,5236,5796,13441,14097,14614,14891,14527,14449,18915,21677,22092,21494,5577,5451,5977,5903,5896,5307,6128,5942,6288,6390,6033,6442,1783,1469,1768,14359,13889,13560,13586,13373,13264,13762,13745,13768,12597,14157,13455,14265,13060,13537,13989,13724,14098,13412,13890,12782,12644,13131,13792,13647,13671,13134,12320,12248,12687,13242,12085,12315,11733,11902,12532,11413,12886,11489,12076,11150,12654,11857,10437,12562,11296,11538,11059,12337,11505,11157,10600,10745,9584,11267,11590,10022,10861,11263,10647,9567,11009,10889,10979,9536,22147,15696,15313,15025,15150,14320,13435,14163,13757,13972,16895,17048,17284,17666,6431,6839,6900,6615,19664,19287,20106,19502,18481,18660,17978,18536,18109,19470,19759,18255,17805,19037,18145,17836,18271,19184,18644,19339,18531,18909,18753,18361,18821,18775,18370,18509,17931
46,11509,11382,13398,13203,12781,12217,16385,18364,18664,17555,17761,17270,16231,16089,15720,15297,14728,15488,14199,14882,14650,14900,14395,14548,13678,14188,13721,13471,13794,13180,13041,13341,13907,13606,13293,12938,13385,17778,17581,10061,10254,10374,10548,11041,706,0,513,732,887,1344,2227,1582,1847,1745,2085,1699,5630,10998,3812,3349,4382,4938,3970,4266,3047,3558,3017,3314,2667,4268,1802,2446,12842,11612,11954,10747,11080,11335,11619,11108,4898,14530,14641,13645,13985,14875,14324,14164,13867,13302,19402,19274,20399,20047,20718,19845,19566,22481,22590,22565,21961,20223,20407,20330,20709,20132,20299,20680,20984,20641,16299,15289,15913,14453,16164,13319,14269,14454,16463,13775,15804,12887,15635,10593,9751,9986,10141,10323,7690,9024,9559,9911,9334,9128,8144,9765,9066,8885,8325,8070,7383,7789,6835,7652,2985,3230,3164,3463,3012,2065,3730,1227,1119,1500,7465,7163,6546,7796,7583,7704,7451,8324,9468,9910,13619,12480,12729,13205,13877,14104,13871,12451,8882,6483,6777,3626,3936,4530,5090,13812,14468,14985,15262,14898,14820,19286,22048,22463,21865,4900,4745,5270,5196,5190,4600,5421,5235,5581,5683,5327,5736,2170,1997,1397,14730,14260,13931,13956,13743,13634,14133,14116,14139,12968,14528,13826,14636,13431,13908,14360,14095,14468,13783,14261,13153,13015,13502,14163,14018,14042,13505,12691,12619,13058,13613,12456,12686,12104,12273,12903,11784,13256,11860,12447,11521,13025,12228,10808,12933,11667,11909,11430,12708,11876,11528,10971,11116,9955,11638,11961,10392,11232,11634,11018,9937,11380,11260,11350,9907,22517,16067,15684,15396,15521,14690,13806,14534,14128,14343,17266,17419,17655,18037,6250,7163,7271,6986,20035,19658,20477,19873,18852,19031,18349,18906,18480,19841,20130,18626,18176,19408,18516,18206,18642,19555,19015,19710,18902,19280,19123,18732,19192,19146,18741,18880,18301
47,11570,11884,13911,13716,13293,12730,16897,18877,19176,18068,18274,17782,16744,16602,16232,15810,15240,16000,14712,15394,15163,15413,14908,15061,14190,14701,14234,13984,14307,13692,13553,13854,14420,14119,13806,13451,13898,18291,18094,9548,9742,9862,10035,10529,1208,513,0,230,385,831,1725,1069,1346,1243,1573,1186,5117,10485,3310,2847,3880,4425,3468,3753,3036,3076,2629,2904,2213,3766,2315,2659,13355,12125,12467,11260,11593,11848,12132,11620,5411,15042,15154,14158,14498,15387,14837,14677,14380,13815,19915,19787,20912,20560,21231,20358,20078,22994,23103,23077,22474,20736,20919,20843,21222,20645,20812,21193,21497,21153,16812,15802,16426,14966,16677,13832,14781,14967,16976,14288,16317,13400,16148,11105,10264,10498,10654,10836,8203,9537,10072,10424,9847,9641,8656,10278,9579,9397,8838,8583,7896,8301,7348,8165,3497,3742,3677,3976,3525,2577,4243,1729,1620,2002,6952,6650,6033,7283,7070,7191,6938,7811,8956,9397,13106,11967,12216,12692,13365,13591,13358,11938,8370,5970,6265,3113,3423,4028,4588,14325,14981,15498,15775,15410,15333,19799,22561,22976,22377,5413,4458,5042,4788,4688,4098,4919,4733,5079,5181,4825,5234,2672,2499,1586,15243,14773,14443,14469,14256,14147,14645,14629,14652,13480,15041,14339,15149,13944,14421,14873,14607,14981,14295,14774,13666,13528,14015,14676,14531,14555,14018,13204,13132,13571,14126,12969,13198,12616,12786,13415,12297,13769,12373,12960,12034,13538,12741,11320,13446,12180,12422,11943,13221,12389,12041,11483,11629,10468,12151,12473,10905,11745,12146,11531,10450,11893,11773,11862,10420,23030,16579,16197,15908,16034,15203,14319,15046,14641,14856,17779,17932,18168,18550,6763,7676,7783,7499,20547,20170,20990,20385,19364,19543,18862,19419,18993,20354,20643,19138,18689,19920,19028,18719,19155,20068,19528,20223,19415,19793,19636,19245,19704,19659,19254,19392,18814
48,11800,12114,14028,13834,13411,12847,17015,18995,19294,18186,18391,17900,16861,16719,16350,15927,15358,16118,14829,15512,15281,15531,15025,15178,14308,14818,14351,14101,14424,13810,13671,13971,14538,14236,13923,13568,14015,18408,18211,9431,9624,9744,9917,10411,1438,732,230,0,225,713,1495,952,1116,1014,1455,1068,5000,10368,3080,2617,3650,4308,3238,3792,3154,3193,2747,3022,2330,3536,2432,2777,13472,12243,12585,11377,11710,11965,12249,11738,5528,15160,15271,14276,14615,15505,14954,14794,14498,13932,20033,19904,21029,20677,21348,20476,20196,23111,23220,23195,22592,20853,21037,20960,21340,20762,20929,21311,21615,21271,16930,15920,16543,15083,16794,13950,14899,15084,17093,14405,16434,13517,16266,11223,10382,10616,10771,10953,8320,9654,10189,10542,9965,9758,8774,10395,9696,9515,8955,8700,8013,8419,7465,8282,3615,3860,3794,4093,3642,2695,4360,1958,1850,2232,6835,6533,5915,7166,6953,7073,6821,7806,8838,9280,12989,11850,12098,12574,13247,13474,13241,11821,8252,5853,6147,2995,3306,3798,4358,14442,15098,15615,15892,15528,15450,19916,22678,23093,22495,5530,4576,5160,4906,4536,3868,4690,4503,4849,4952,4595,5004,2901,2729,1815,15361,14891,14561,14587,14374,14265,14763,14746,14769,13598,15158,14456,15266,14061,14539,14990,14725,15099,14413,14891,13783,13645,14132,14793,14649,14673,14135,13321,13249,13689,14243,13086,13316,12734,12903,13533,12414,13887,12491,13077,12151,13655,12858,11438,13563,12297,12539,12060,13338,12506,12158,11601,11746,10585,12268,12591,11023,11862,12264,11648,10568,12010,11890,11980,10538,23148,16697,16314,16026,16151,15321,14437,15164,14758,14973,17896,18049,18285,18667,6880,7793,7901,7616,20665,20288,21108,20503,19482,19661,18979,19537,19110,20471,20761,19256,18807,20038,19146,18837,19272,20185,19646,20340,19532,19910,19754,19362,19822,19777,19371,19510,18932
49,11955,12269,14253,14059,13636,13072,17240,19220,19519,18410,18616,18125,17086,16944,16575,16152,15583,16343,15054,15737,15505,15755,15250,15403,14533,15043,14576,14326,14649,14035,13896,14196,14762,14461,14148,13793,14240,18633,18436,9206,9399,9519,9692,10186,1594,887,385,225,0,489,1339,727,960,858,1230,844,4775,10143,2925,2462,3495,4083,3083,3948,3379,3418,2972,3246,2555,3380,2657,3002,13697,12468,12809,11602,11935,12190,12474,11963,5753,15385,15496,14500,14840,15730,15179,15019,14722,14157,20257,20129,21254,20902,21573,20700,20421,23336,23445,23420,22816,21078,21262,21185,21564,20987,21154,21535,21839,21496,17154,16144,16768,15308,17019,14174,15124,15309,17318,14630,16659,13742,16490,11448,10607,10841,10996,11178,8545,9879,10414,10766,10189,9983,8999,10620,9921,9740,9180,8925,8238,8644,7690,8507,3840,4085,4019,4318,3867,2920,4585,2114,2006,2388,6610,6308,5691,6941,6728,6849,6635,7962,8613,9055,12764,11625,11874,12350,13022,13249,13016,11596,8027,5628,5922,2771,3081,3642,4202,14667,15323,15840,16117,15753,15675,20141,22903,23318,22720,5755,4801,5384,5131,4761,3713,4588,4348,4694,4796,4439,4849,3057,2885,1971,15585,15115,14786,14811,14598,14489,14988,14971,14994,13823,15383,14681,15491,14286,14763,15215,14950,15323,14638,15116,14008,13870,14357,15018,14873,14897,14360,13546,13474,13913,14468,13311,13541,12959,13128,13758,12639,14112,12715,13302,12376,13880,13083,11663,13788,12522,12764,12285,13563,12731,12383,11826,11971,10810,12493,12816,11248,12087,12489,11873,10792,12235,12115,12205,10762,23372,16922,16539,16251,16376,15545,14661,15389,14983,15198,18121,18274,18510,18892,7105,8018,8126,7841,20890,20513,21332,20728,19707,19886,19204,19761,19335,20696,20985,19481,19031,20263,19371,19061,19497,20410,19870,20565,19757,20135,19978,19587,20047,20001,19596,19735,19156
50,12367,12681,14742,14547,14124,13561,17728,19708,20007,18899,19105,18613,17575,17433,17063,16641,16071,16831,15543,16225,15994,16244,15739,15892,15021,15532,15065,14815,15137,14523,14384,14685,15251,14949,14637,14282,14729,19122,18925,8717,8911,9031,9204,9698,2005,1344,831,713,489,0,928,240,549,447,742,355,4345,9654,2513,2050,3084,4382,2671,4359,3867,3907,3460,3735,3044,3823,3146,3490,14186,12956,13298,12091,12424,12678,12962,12451,6241,15873,15985,14989,15329,16218,15667,15508,15211,14646,20746,20618,21743,21391,22062,21189,20909,23825,23934,23908,23305,21567,21750,21673,22053,21476,21643,22024,22328,21984,17643,16633,17257,15797,17508,14663,15612,15798,17807,15119,17148,14231,16979,11936,11095,11329,11485,11667,9034,10368,10903,11255,10678,10472,9487,11109,10410,10228,9669,9414,8727,9132,8179,8996,4328,4573,4508,4807,4356,3408,5073,2525,2417,2799,6122,5819,5202,7008,6783,6360,7046,8373,8574,8758,12276,11136,11385,11861,12534,12760,12527,11107,7539,5139,5434,2282,2592,3231,3791,15156,15812,16328,16606,16241,16164,20630,23392,23807,23208,6243,5289,5873,5619,5250,4177,5077,4588,4768,4385,4028,4437,3468,3296,2382,16074,15604,15274,15300,15087,14978,15476,15459,15482,14311,15872,15170,15980,14775,15252,15704,15438,15812,15126,15605,14497,14359,14846,15507,15362,15386,14849,14035,13963,14402,14957,13800,14029,13447,13617,14246,13128,14600,13204,13791,12865,14369,13572,12151,14276,13011,13252,12774,14052,13220,12872,12314,12460,11299,12981,13304,11736,12576,12977,12362,11281,12724,12603,12693,11251,23861,17410,17027,16739,16865,16034,15150,15877,15472,15687,18610,18763,18999,19381,7594,8507,8614,8329,21378,21001,21821,21216,20195,20374,19693,20250,19824,21185,21474,19969,19520,20751,19859,19550,19985,20898,20359,21054,20245,20623,20467,20076,20535,20490,20085,20223,19645
51,13295,13609,14245,14050,13628,13064,17232,19211,19511,18402,18608,18117,17078,16936,16567,16144,15575,16335,15046,15729,15497,15747,15242,15395,14525,15035,14568,14318,14641,14027,13888,14188,14754,14453,14140,13785,14232,18625,18428,9214,9407,9527,9701,10194,2933,2227,1725,1495,1339,928,0,735,439,774,1238,917,5273,10508,1585,1122,2343,5310,1743,5288,3371,3410,2964,3238,2547,3326,2649,2994,13689,12459,12801,11594,11927,12182,12466,11955,5745,15377,15488,14492,14832,15722,15171,15011,14714,14149,20249,20121,21246,20894,21565,20692,20413,23328,23437,23412,22808,21070,21254,21177,21556,20979,21146,21527,21831,21488,17146,16136,16760,15300,17011,14166,15116,15301,17310,14622,16651,13734,16482,11440,10599,10833,10988,11170,8537,9871,10406,10758,10181,9975,8991,10612,9913,9732,9172,8917,8230,8636,7682,8499,3832,4077,4011,4310,3859,2912,4577,3453,3345,3727,6618,6316,5699,7936,7711,6924,7974,9301,9502,9686,12772,11633,11882,12358,13030,13257,13024,11604,8035,5636,5930,2779,3089,2303,2863,14659,15315,15832,16109,15745,15667,20133,22895,23310,22712,5747,4792,5376,5123,4753,3681,4580,4091,4271,3888,3182,3604,4397,4224,3310,15577,15107,14778,14803,14590,14481,14980,14963,14986,13815,15375,14673,15483,14278,14755,15207,14942,15315,14630,15108,14000,13862,14349,15010,14865,14889,14352,13538,13466,13905,14460,13303,13533,12951,13120,13750,12631,14103,12707,13294,12368,13872,13075,11655,13780,12514,12756,12277,13555,12723,12375,11818,11963,10802,12485,12808,11239,12079,12481,11865,10784,12227,12107,12197,10754,23364,16914,16531,16243,16368,15537,14653,15381,14975,15190,18113,18266,18502,18884,7097,8010,8118,7833,20882,20505,21324,20720,19699,19878,19196,19753,19327,20688,20977,19473,19023,20255,19363,19053,19489,20402,19862,20557,19749,20127,19970,19579,20039,19993,19588,19727,19148
52,12607,12921,14980,14785,14362,13799,17966,19946,20246,19137,19343,18851,17813,17671,17301,16879,16309,17069,15781,16463,16232,16482,15977,16130,15259,15770,15303,15053,15376,14761,14622,14923,15489,15188,14875,14520,14967,19360,19163,8479,8673,8792,8966,9459,2245,1582,1069,952,727,240,735,0,309,207,504,229,4585,9819,2273,1810,3078,4621,2431,4599,4105,4145,3699,3973,3282,4061,3384,3728,14424,13194,13536,12329,12662,12917,13201,12689,6480,16111,16223,15227,15567,16457,15906,15746,15449,14884,20984,20856,21981,21629,22300,21427,21147,24063,24172,24146,23543,21805,21988,21912,22291,21714,21881,22262,22566,22223,17881,16871,17495,16035,17746,14901,15850,16036,18045,15357,17386,14469,17217,12174,11333,11567,11723,11905,9272,10606,11141,11493,10916,10710,9725,11347,10648,10467,9907,9652,8965,9370,8417,9234,4566,4811,4746,5045,4594,3647,5312,2765,2657,3039,5883,5581,4964,7248,7023,6236,7286,8613,8814,8998,12037,10898,11147,11623,12296,12522,12289,10869,7301,4901,5196,2044,2354,2991,3551,15394,16050,16567,16844,16480,16402,20868,23630,24045,23446,6482,5527,6111,5858,5488,4415,5315,4826,5006,4623,3917,4339,3708,3536,2622,16312,15842,15512,15538,15325,15216,15714,15698,15721,14549,16110,15408,16218,15013,15490,15942,15677,16050,15364,15843,14735,14597,15084,15745,15600,15624,15087,14273,14201,14640,15195,14038,14268,13685,13855,14484,13366,14838,13442,14029,13103,14607,13810,12389,14515,13249,13491,13012,14290,13458,13110,12552,12698,11537,13220,13543,11974,12814,13216,12600,11519,12962,12842,12931,11489,24099,17648,17266,16977,17103,16272,15388,16115,15710,15925,18848,19001,19237,19619,7832,8745,8852,8568,21616,21240,22059,21454,20433,20612,19931,20488,20062,21423,21712,20207,19758,20989,20097,19788,20224,21137,20597,21292,20484,20862,20705,20314,20773,20728,20323,20461,19883
53,12916,13230,14684,14490,14067,13503,17671,19651,19950,18841,19047,18556,17517,17375,17006,16583,16014,16774,15485,16168,15937,16186,15681,15834,14964,15474,15007,14757,15080,14466,14327,14627,15193,14892,14579,14224,14671,19064,18867,8775,8968,9088,9261,9755,2554,1847,1346,1116,960,549,439,309,0,335,799,538,4894,10128,1965,1502,2782,4930,2123,4908,3810,3849,3403,3677,2986,3766,3088,3433,14128,12899,13240,12033,12366,12621,12905,12394,6184,15816,15927,14932,15271,16161,15610,15450,15153,14588,20688,20560,21685,21333,22004,21131,20852,23767,23876,23851,23247,21509,21693,21616,21995,21418,21585,21966,22270,21927,17585,16576,17199,15739,17450,14605,15555,15740,17749,15061,17090,14173,16921,11879,11038,11272,11427,11609,8976,10310,10845,11198,10620,10414,9430,11051,10352,10171,9611,9356,8669,9075,8121,8938,4271,4516,4450,4749,4298,3351,5016,3074,2966,3348,6179,5877,5260,7556,7332,6545,7595,8922,9123,9307,12333,11194,11443,11919,12591,12818,12585,11165,7596,5197,5491,2340,2650,2682,3242,15098,15754,16271,16548,16184,16106,20572,23334,23749,23151,6186,5232,5815,5562,5192,4120,5019,4530,4710,4327,3621,4043,4017,3845,2931,16016,15546,15217,15243,15029,14921,15419,15402,15425,14254,15814,15112,15922,14717,15194,15646,15381,15754,15069,15547,14439,14301,14788,15449,15304,15328,14791,13977,13905,14344,14899,13742,13972,13390,13559,14189,13070,14543,13146,13733,12807,14311,13514,12094,14219,12953,13195,12716,13994,13162,12814,12257,12402,11241,12924,13247,11679,12518,12920,12304,11224,12666,12546,12636,11193,23804,17353,16970,16682,16807,15976,15092,15820,15414,15629,18552,18705,18941,19323,7536,8449,8557,8272,21321,20944,21763,21159,20138,20317,19635,20192,19766,21127,21416,19912,19462,20694,19802,19492,19928,20841,20301,20996,20188,20566,20409,20018,20478,20432,20027,20166,19587
54,12813,13128,15019,14825,14402,13838,18006,19986,20285,19176,19382,18891,17852,17710,17341,16918,16349,17109,15820,16503,16272,16521,16016,16169,15299,15809,15342,15092,15415,14801,14662,14962,15529,15227,14914,14559,15006,19399,19202,8440,8633,8753,8926,9420,2452,1745,1243,1014,858,447,774,207,335,0,464,436,4791,10026,2187,1604,3117,4828,2458,4806,4145,4184,3738,4012,3321,4101,3423,3768,14463,13234,13575,12368,12701,12956,13240,12729,6519,16151,16262,15267,15606,16496,15945,15785,15488,14923,21023,20895,22020,21668,22339,21466,21187,24102,24211,24186,23582,21844,22028,21951,22330,21753,21920,22301,22605,22262,17920,16911,17534,16074,17785,14940,15890,16075,18084,15396,17425,14508,17256,12214,11373,11607,11762,11944,9311,10645,11180,11533,10956,10749,9765,11386,10687,10506,9946,9691,9004,9410,8456,9273,4606,4851,4785,5084,4633,3686,5351,2972,2864,3246,5844,5542,5090,7454,7230,6443,7493,8820,9021,9204,11998,10859,11107,11584,12256,12483,12250,10830,7261,4862,5156,2005,2315,2784,3344,15433,16089,16606,16883,16519,16441,20907,23669,24084,23486,6521,5567,6150,5897,5527,4455,5354,4865,5045,4662,3956,4378,3915,3743,2829,16351,15881,15552,15578,15365,15256,15754,15737,15760,14589,16149,15447,16257,15052,15529,15981,15716,16089,15404,15882,14774,14636,15123,15784,15639,15663,15126,14312,14240,14679,15234,14077,14307,13725,13894,14524,13405,14878,13481,14068,13142,14646,13849,12429,14554,13288,13530,13051,14329,13497,13149,12592,12737,11576,13259,13582,12014,12853,13255,12639,11559,13001,12881,12971,11528,24139,17688,17305,17017,17142,16311,15427,16155,15749,15964,18887,19040,19276,19658,7871,8784,8892,8607,21656,21279,22098,21494,20473,20652,19970,20527,20101,21462,21751,20247,19797,21029,20137,19828,20263,21176,20636,21331,20523,20901,20745,20353,20813,20767,20362,20501,19922
55,12499,12813,15483,15289,14866,14303,18470,20450,20749,19641,19847,19355,18316,18174,17805,17382,16813,17573,16284,16967,16736,16986,16481,16634,15763,16273,15806,15556,15879,15265,15126,15427,15993,15691,15378,15023,15471,19864,19666,7975,8169,8289,8462,8956,2456,2085,1573,1455,1230,742,1238,504,799,464,0,387,4477,9712,2652,1918,3581,4514,2922,4492,4609,4648,4202,4477,3785,4565,3887,4232,14927,13698,14040,12832,13165,13420,13704,13193,6983,16615,16727,15731,16070,16960,16409,16249,15953,15388,21488,21359,22485,22132,22803,21931,21651,24567,24676,24650,24047,22308,22492,22415,22795,22217,22385,22766,23070,22726,18385,17375,17999,16539,18249,15405,16354,16540,18549,15860,17890,14972,17721,12678,11837,12071,12226,12409,9775,11109,11645,11997,11420,11213,10229,11850,11152,10970,10410,10156,9468,9874,8921,9737,5070,5315,5250,5548,5097,4150,5815,2658,2550,2932,5380,5078,4776,7140,6916,6129,7179,8506,8707,8890,11534,10394,10643,11119,11792,12018,11786,10365,6797,4398,4692,1540,1850,3098,3658,15897,16553,17070,17347,16983,16905,21371,24133,24549,23950,6985,6031,6615,6361,5991,4919,5819,5330,5509,5127,4420,4843,3601,3429,2515,16816,16346,16016,16042,15829,15720,16218,16201,16224,15053,16613,15912,16722,15517,15994,16445,16180,16554,15868,16347,15239,15100,15588,16248,16104,16128,15590,14776,14704,15144,15698,14541,14771,14189,14358,14988,13870,15342,13946,14532,13606,15110,14314,12893,15018,13753,13994,13516,14793,13961,13613,13056,13201,12040,13723,14046,12478,13317,13719,13103,12023,13465,13345,13435,11993,24603,18152,17769,17481,17606,16776,15892,16619,16214,16429,19352,19504,19741,20123,8336,9248,9356,9071,22120,21743,22563,21958,20937,21116,20434,20992,20565,21926,22216,20711,20262,21493,20601,20292,20727,21640,21101,21795,20987,21365,21209,20817,21277,21232,20827,20965,20387
56,12378,12692,15097,14902,14479,13916,18083,20063,20362,19254,19460,18968,17930,17788,17418,16996,16426,17186,15898,16580,16349,16599,16094,16247,15376,15887,15420,15170,15493,14878,14739,15040,15606,15304,14992,14637,15084,19477,19280,8362,8556,8676,8849,9343,2070,1699,1186,1068,844,355,917,229,538,436,387,0,4356,9590,2503,2040,3195,4392,2661,4370,4222,4262,3815,4090,3399,4178,3501,3845,14541,13311,13653,12446,12779,13033,13318,12806,6596,16228,16340,15344,15684,16573,16022,15863,15566,15001,21101,20973,22098,21746,22417,21544,21264,24180,24289,24263,23660,21922,22105,22028,22408,21831,21998,22379,22683,22339,17998,16988,17612,16152,17863,15018,15967,16153,18162,15474,17503,14586,17334,12291,11450,11684,11840,12022,9389,10723,11258,11610,11033,10827,9842,11464,10765,10583,10024,9769,9082,9487,8534,9351,4683,4928,4863,5162,4711,3763,5428,2536,2428,2810,5767,5464,4847,7018,6794,6007,7057,8384,8585,8769,11921,10781,11030,11506,12179,12405,12172,10752,7184,4784,5079,1927,2237,3220,3780,15511,16167,16683,16961,16596,16519,20985,23747,24162,23563,6598,5644,6228,5974,5605,4532,5432,4943,5123,4740,4034,4456,3479,3307,2393,16429,15959,15629,15655,15442,15333,15831,15814,15837,14666,16227,15525,16335,15130,15607,16059,15793,16167,15481,15960,14852,14714,15201,15862,15717,15741,15204,14390,14318,14757,15312,14155,14384,13802,13972,14601,13483,14955,13559,14146,13220,14724,13927,12506,14631,13366,13607,13129,14407,13575,13227,12669,12815,11654,13336,13659,12091,12931,13332,12717,11636,13079,12958,13048,11606,24216,17765,17382,17094,17220,16389,15505,16232,15827,16042,18965,19118,19354,19736,7949,8862,8969,8684,21733,21356,22176,21571,20550,20729,20048,20605,20179,21540,21829,20324,19875,21106,20214,19905,20340,21253,20714,21409,20601,20979,20822,20431,20890,20845,20440,20578,20000
