Group,X,Y
1,29595.81767325556,8482.087408306757
2,29571.687145554166,8143.831334117031
3,9320.485154429733,3850.7100020205025
4,9540.154307330768,3825.6483047398706
5,9851.298228749994,3937.415717547684
6,10271.907423889656,4080.167133530279
7,7953.236550833339,2231.4869954920655
8,6165.011819853853,2039.798253278395
9,5921.264545116673,1984.3204602975889
10,7165.872840580953,1848.1041892856983
11,6704.686780366679,2103.4304948052177
12,7102.249588881827,2197.5323296536276
13,8516.913645283335,1821.457724325263
14,8448.710775271433,2031.6176890476518
15,8594.025080183872,2255.679871950725
16,8860.313495276929,2412.0856902016935
17,9342.27604516666,2499.34551004763
18,8419.637038570134,2662.0201572293813
19,9517.268545615261,2853.0944780306972
20,9097.258725623084,2590.384095970545
21,9219.81936860002,2699.00489954736
22,8935.896820401307,2733.006093982591
23,9124.272916700009,3049.8603513552484
24,8934.034880100011,3087.100265936406
25,9695.225860780007,3196.451563047561
26,9264.944260700016,3116.4620101287233
27,9534.800690790917,3313.4477151837464
28,9775.521958838894,3322.717432658661
29,9390.061699778438,3385.37505728285
30,9832.065304033351,3557.5488590475816
31,10102.02098252053,3426.5857475089806
32,9582.827494482604,3645.231018830141
33,9170.676519520513,3491.1909598169213
34,9332.583985361976,3630.896255385563
35,9663.884218866664,3612.3424337141396
36,10004.552980408329,3626.6957236309095
37,9975.525707016674,3208.6265425475494
38,7318.244388550008,1472.8387600474239
39,6971.062762807148,2017.249936547707
40,25494.871185107422,11135.251255714222
41,26683.646539795234,10140.108897619039
42,26597.778217500007,10345.755588547345
43,26574.69029261667,10542.12186738103
44,26872.427968989494,10738.086063521216
45,18475.307819342856,7723.124280476255
46,18307.496866578047,8261.792519291554
47,18312.90486742916,8769.10777175589
48,18256.728981575,8942.77459863111
49,18291.367098648716,9132.950206739903
50,18329.95329215946,9582.975570939378
51,17617.60647060002,9798.689186047593
52,18329.059307774096,9822.046552751273
53,18026.779568360707,9828.559746904808
54,18245.361153059992,9945.01188104758
55,18634.534124410533,10020.154794573871
56,18502.07139542414,9765.880049392548
57,22645.513745200016,9553.68578704737
58,27946.896687461915,9620.457234761943
59,16118.360351033349,9884.79570058607
60,16752.91796377143,10056.276760714172
61,15368.42126026098,9704.957921242578
62,22317.928629908343,9189.435054881065
63,15903.882088500004,9828.334746247549
64,21970.923149866667,8864.477045343834
65,15522.019729776923,8523.602833278337
66,15246.805673281397,8759.481545675517
67,15740.489893238468,8712.102034432171
68,15454.995246361965,8722.983525244821
69,16124.14485560697,8745.264482070663
70,14933.890316922227,9155.926659417984
71,16564.306290670593,8203.006605518298
72,16011.32217456111,8411.294628214202
73,9907.495659950006,3819.8164282144226
74,10912.339849227787,4044.4623462697045
75,10361.918785349995,4252.956232047564
76,11527.956573133335,4294.313160047698
77,11195.49574360909,4293.8789426838985
78,10743.007300178248,4491.44958904755
79,10467.98653179092,4482.448361320405
80,10605.723166271433,4856.000582857235
81,15487.762344227776,6183.693696547618
82,8506.318370414296,3533.4007867620107
83,8681.80840848762,3246.312242587426
84,8607.68395260002,4316.134963547456
85,8223.421993096563,4360.9302418061425
