Sim	T1	k	Ratio_2014	Antigen_2016	MF_2016
0	0.000402193	0.0545682	0.0456361	2.35707	0.0203196
0	0.000402193	0.0545682	0.0511811	2.45903	0.0388853
0	0.000402193	0.0545682	0.0452436	2.34175	0.0202829
0	0.000402193	0.0545682	0.0393788	2.42934	0.0258637
0	0.000402193	0.0545682	0.0496249	2.36787	0.0221296
1	0.00615538	0.0510479	0.503208	17.1858	11.5409
1	0.00615538	0.0510479	0.536823	17.7575	12.1119
1	0.00615538	0.0510479	0.504409	17.4012	11.6193
1	0.00615538	0.0510479	0.500079	17.771	11.9266
1	0.00615538	0.0510479	0.504867	17.5041	11.7255
2	0.00288648	0.045421	0.287687	9.81704	4.73348
2	0.00288648	0.045421	0.322205	10.6198	5.37908
2	0.00288648	0.045421	0.29428	10.1122	5.04688
2	0.00288648	0.045421	0.324813	10.6293	5.53312
2	0.00288648	0.045421	0.331533	11.011	5.74823
3	0.00757759	0.0667188	0.499581	20.8247	13.9207
3	0.00757759	0.0667188	0.493947	20.9372	14.0063
3	0.00757759	0.0667188	0.490372	21.5656	14.4167
3	0.00757759	0.0667188	0.479121	21.0988	13.9293
3	0.00757759	0.0667188	0.484905	20.8223	13.5868
4	0.00467791	0.0899798	0.248815	13.2553	5.42976
4	0.00467791	0.0899798	0.241395	13.7705	5.65732
4	0.00467791	0.0899798	0.23598	13.1631	5.32871
4	0.00467791	0.0899798	0.243165	13.7849	5.79058
4	0.00467791	0.0899798	0.249514	13.9361	5.92747
5	0.0062643	0.0800483	0.382518	19.2995	11.3538
5	0.0062643	0.0800483	0.353993	18.8022	10.4818
5	0.0062643	0.0800483	0.385157	19.7354	11.4021
5	0.0062643	0.0800483	0.378026	19.1784	11.0661
5	0.0062643	0.0800483	0.369401	19.5359	11.2908
6	0.00317164	0.076657	0.178478	9.03226	2.60829
6	0.00317164	0.076657	0.161489	8.2939	2.17475
6	0.00317164	0.076657	0.197012	9.24095	2.93033
6	0.00317164	0.076657	0.189572	9.36087	2.88836
6	0.00317164	0.076657	0.177315	8.85284	2.62245
7	0.00630553	0.0136782	0.676544	8.11211	6.00643
7	0.00630553	0.0136782	0.677723	8.16421	6.09779
7	0.00630553	0.0136782	0.651706	7.96663	5.85315
7	0.00630553	0.0136782	0.66262	8.07995	5.95947
7	0.00630553	0.0136782	0.675087	8.24847	6.09903
8	0.00643887	0.0662092	0.459148	19.5077	12.388
