Sim	T1	W	k	Antigen_2016	MF_2016	ICCV
0	0.00444132	0.440042	0.185653	6.46841	1.07622	0.2169
0	0.00444132	0.440042	0.185653	6.57235	0.987517	0.3436
0	0.00444132	0.440042	0.185653	6.42429	1.07811	0.2944
0	0.00444132	0.440042	0.185653	6.72623	1.41702	0.1201
0	0.00444132	0.440042	0.185653	7.26418	1.02505	0.1913
1	0.00693933	0.616292	0.157674	13.8908	4.75121	0.2496
1	0.00693933	0.616292	0.157674	13.2864	4.59779	0.1468
1	0.00693933	0.616292	0.157674	14.789	5.21317	0.1362
1	0.00693933	0.616292	0.157674	14.7442	5.69811	0.158
1	0.00693933	0.616292	0.157674	14.2957	5.48941	0.3275
2	0.0026525	0.588927	0.114328	6.00627	1.22118	0.1264
2	0.0026525	0.588927	0.114328	5.12279	0.924845	0.2043
2	0.0026525	0.588927	0.114328	5.16814	0.813008	0.2705
2	0.0026525	0.588927	0.114328	6.11573	1.03921	0.1371
2	0.0026525	0.588927	0.114328	5.35655	0.70977	0.1867
3	0.00832391	0.697532	0.152746	18.8991	8.20849	0.1329
3	0.00832391	0.697532	0.152746	16.6102	7.47522	0.2349
3	0.00832391	0.697532	0.152746	16.9054	7.17758	0.3045
3	0.00832391	0.697532	0.152746	17.5914	7.1937	0.2117
3	0.00832391	0.697532	0.152746	17.059	7.40713	0.2255
4	0.00163064	0.3658	0.0400828	5.9742	2.02713	0.0264
4	0.00163064	0.3658	0.0400828	5.33336	1.69723	0.1873
4	0.00163064	0.3658	0.0400828	5.91842	2.05344	0.3094
4	0.00163064	0.3658	0.0400828	5.29727	1.62315	0.2872
4	0.00163064	0.3658	0.0400828	5.28418	1.72133	0.1578
5	0.0016981	0.149126	0.256034	2.79311	0.0407483	0.2415
5	0.0016981	0.149126	0.256034	3.06966	0.0608766	0.3544
5	0.0016981	0.149126	0.256034	2.94651	0.0351656	0.3667
5	0.0016981	0.149126	0.256034	2.96726	0.0572759	0.1129
5	0.0016981	0.149126	0.256034	3.03075	0.0572537	0.1854
6	0.00807124	0.0646172	0.0488616	18.0328	12.5934	0.1015
6	0.00807124	0.0646172	0.0488616	16.8806	11.4404	0.1025
6	0.00807124	0.0646172	0.0488616	15.8728	10.7685	0.0871
6	0.00807124	0.0646172	0.0488616	16.7826	11.4869	0.2233
6	0.00807124	0.0646172	0.0488616	16.5151	11.1616	0.1693
7	0.00617965	0.361594	0.150601	12.8233	4.52607	0.1697
7	0.00617965	0.361594	0.150601	13.1343	4.85094	0.2128
7	0.00617965	0.361594	0.150601	11.4455	3.98185	0.0548
7	0.00617965	0.361594	0.150601	12.8875	4.63536	0.2444
7	0.00617965	0.361594	0.150601	13.3646	4.70291	0.1666
8	0.000210403	0.339728	0.165133	2.02197	0.00184655	0.1716
8	0.000210403	0.339728	0.165133	2.07275	0.00184737	0.5378
8	0.000210403	0.339728	0.165133	1.99429	0	0.1744
8	0.000210403	0.339728	0.165133	2.05818	0.00184922	0.1363
8	0.000210403	0.339728	0.165133	2.09647	0	0.4204
