what	T1	W	k
mode	0.00323711	0.478489	0.127061
mean	0.309834	0.489366	0.390469
median	0.00310627	0.377424	0.113163
quantile_50_lower_bound	0.00261192	0.215139	0.0779345
quantile_50_upper_bound	0.00356551	0.506522	0.146112
quantile_90_lower_bound	0.00200469	0.0690185	0.0376369
quantile_90_upper_bound	0.00416136	0.633293	0.188585
quantile_95_lower_bound	0.00183766	0.0416769	0.0280806
quantile_95_upper_bound	0.00435969	0.66468	0.201542
quantile_99_lower_bound	0.00153426	0.0116725	0.014779
quantile_99_upper_bound	0.00486353	0.710247	0.234362
HPD_50_lower_bound	0.00280508	0.19218	0.0832294
HPD_50_upper_bound	0.00356826	0.569311	0.15041
HPD_90_lower_bound	0.0021428	0.0725817	0.0364756
HPD_90_upper_bound	0.00392789	0.62876	0.182533
HPD_95_lower_bound	0.00192249	0.0425386	0.0247522
HPD_95_upper_bound	0.0041482	0.651284	0.194257
HPD_99_lower_bound	0.00160688	0.00487672	0.0101496
HPD_99_upper_bound	0.00466558	0.696465	0.214711
