what	T1	W	k
mode	0.00373844	0.113739	0.122058
mean	0.370157	0.473883	0.415271
median	0.00370188	0.323835	0.119608
quantile_50_lower_bound	0.0031504	0.163684	0.0883548
quantile_50_upper_bound	0.00421928	0.52974	0.150124
quantile_90_lower_bound	0.00235136	0.0553655	0.0432772
quantile_90_upper_bound	0.00502487	0.681426	0.196681
quantile_95_lower_bound	0.00213574	0.034197	0.0324553
quantile_95_upper_bound	0.00529136	0.707007	0.211276
quantile_99_lower_bound	0.00176779	0.00748229	0.0174032
quantile_99_upper_bound	0.0058018	0.733781	0.238776
HPD_50_lower_bound	0.00346609	0.0678572	0.0900857
HPD_50_upper_bound	0.00411153	0.535664	0.148197
HPD_90_lower_bound	0.00240443	0.0307148	0.0405157
HPD_90_upper_bound	0.004871	0.700662	0.189017
HPD_95_lower_bound	0.00219266	0.0233988	0.0288282
HPD_95_upper_bound	0.0051835	0.715499	0.203621
HPD_99_lower_bound	0.00182521	0.0160932	0.0142737
HPD_99_upper_bound	0.00555095	0.730325	0.226926
