Sim	T1	W	k	Antigen_2016	MF_2016	ICCV
0	0.00977209	0.310059	0.173455	16.0852	6.00791	0.2433
0	0.00977209	0.310059	0.173455	15.8141	5.91689	0.4089
0	0.00977209	0.310059	0.173455	15.7153	5.7155	0.1698
0	0.00977209	0.310059	0.173455	18.6439	7.27306	0.1422
0	0.00977209	0.310059	0.173455	16.2243	6.22393	0.3759
1	0.00600178	0.341486	0.134468	10.5987	3.26356	0.235
1	0.00600178	0.341486	0.134468	10.9841	3.45577	0.1833
1	0.00600178	0.341486	0.134468	11.0665	3.48349	0.1074
1	0.00600178	0.341486	0.134468	10.1875	2.94428	0.3318
1	0.00600178	0.341486	0.134468	10.1409	2.78569	0.2511
2	0.00844188	0.184519	0.249333	10.1635	2.30099	0.3008
2	0.00844188	0.184519	0.249333	10.355	2.59983	0.467
2	0.00844188	0.184519	0.249333	10.7233	2.69606	0.5494
2	0.00844188	0.184519	0.249333	8.88606	2.2755	0.3909
2	0.00844188	0.184519	0.249333	10.4991	2.17114	0.301
3	0.00782512	0.672863	0.0335455	12.0646	8.12076	0.0551
3	0.00782512	0.672863	0.0335455	12.2969	8.1973	0.0339
3	0.00782512	0.672863	0.0335455	11.7815	7.55133	0.031
3	0.00782512	0.672863	0.0335455	11.8043	7.72808	0.0116
3	0.00782512	0.672863	0.0335455	11.9598	7.82063	0.0195
4	0.00741846	0.0114042	0.216394	7.88652	2.30108	0.4486
4	0.00741846	0.0114042	0.216394	8.89469	1.89343	0.3248
4	0.00741846	0.0114042	0.216394	8.76363	2.48048	0.5289
4	0.00741846	0.0114042	0.216394	8.88435	2.59994	0.5347
4	0.00741846	0.0114042	0.216394	8.91281	2.50932	0.4835
5	0.00344362	0.075921	0.172846	4.8952	0.459444	0.3318
5	0.00344362	0.075921	0.172846	4.98019	0.602709	0.4632
5	0.00344362	0.075921	0.172846	4.97556	0.798089	0.4388
5	0.00344362	0.075921	0.172846	4.6752	0.687854	0.323
5	0.00344362	0.075921	0.172846	4.9832	0.498504	0.3207
6	0.00687493	0.176544	0.115075	11.958	4.64509	0.2647
6	0.00687493	0.176544	0.115075	12.5533	5.00649	0.1691
6	0.00687493	0.176544	0.115075	13.4243	5.75116	0.4669
6	0.00687493	0.176544	0.115075	12.9048	4.98373	0.4268
6	0.00687493	0.176544	0.115075	13.5621	5.42742	0.1628
7	0.00541484	0.346275	0.107045	9.42111	3.29341	0.2541
7	0.00541484	0.346275	0.107045	10.7208	3.65658	0.2829
