number	T1	density	W	density	k	density
1	1.12881e-05	8.58775e-07	0.000925366	0.457758	0.0112253	0.539591
2	0.000112022	4.28731e-06	0.00844625	0.556862	0.014142	0.669083
3	0.000212756	1.97425e-05	0.0159671	0.667975	0.0170586	0.817957
4	0.00031349	8.38814e-05	0.023488	0.790095	0.0199753	0.986185
5	0.000414224	0.00032897	0.0310089	0.921514	0.0228919	1.17287
6	0.000514958	0.00119153	0.0385298	1.05979	0.0258086	1.37608
7	0.000615692	0.0039885	0.0460507	1.20178	0.0287252	1.59282
8	0.000716426	0.0123498	0.0535716	1.34372	0.0316419	1.81907
9	0.00081716	0.0354116	0.0610924	1.48142	0.0345585	2.05005
10	0.000917894	0.0941678	0.0686133	1.6105	0.0374752	2.28069
11	0.00101863	0.232661	0.0761342	1.72666	0.0403918	2.50624
12	0.00111936	0.535289	0.0836551	1.82606	0.0433085	2.72301
13	0.0012201	1.14995	0.091176	1.9056	0.0462251	2.92905
14	0.00132083	2.31408	0.0986969	1.96325	0.0491418	3.12474
15	0.00142156	4.37736	0.106218	1.99826	0.0520584	3.31293
16	0.0015223	7.8126	0.113739	2.01123	0.0549751	3.49875
17	0.00162303	13.2035	0.12126	2.00412	0.0578918	3.68888
18	0.00172377	21.1968	0.12878	1.98005	0.0608084	3.89048
19	0.0018245	32.4058	0.136301	1.94301	0.0637251	4.10982
20	0.00192523	47.2607	0.143822	1.89748	0.0666417	4.35111
21	0.00202597	65.8311	0.151343	1.84797	0.0695584	4.61555
22	0.0021267	87.6886	0.158864	1.79864	0.072475	4.90106
23	0.00222744	111.915	0.166385	1.7529	0.0753917	5.20266
24	0.00232817	137.338	0.173906	1.71319	0.0783083	5.51356
25	0.0024289	162.955	0.181427	1.68083	0.081225	5.82657
26	0.00252964	188.372	0.188947	1.65611	0.0841416	6.1357
27	0.00263037	213.964	0.196468	1.63842	0.0870583	6.43727
28	0.00273111	240.61	0.203989	1.62647	0.0899749	6.7304
29	0.00283184	269.117	0.21151	1.61864	0.0928916	7.01661
30	0.00293257	299.706	0.219031	1.61322	0.0958083	7.29863
31	0.00303331	331.917	0.226552	1.60864	0.0987249	7.57866
32	0.00313404	364.958	0.234073	1.60362	0.101642	7.85663
33	0.00323477	398.104	0.241594	1.5972	0.104558	8.12884
34	0.00333551	430.69	0.249115	1.58865	0.107475	8.38745
35	0.00343624	461.582	0.256635	1.57743	0.110392	8.62099
36	0.00353698	488.609	0.264156	1.56299	0.113308	8.8159
37	0.00363771	508.589	0.271677	1.54468	0.116225	8.95863
38	0.00373844	518.192	0.279198	1.52173	0.119141	9.03798
39	0.00383918	515.231	0.286719	1.49321	0.122058	9.04709
40	0.00393991	499.53	0.29424	1.45822	0.124975	8.98456
41	0.00404065	472.867	0.301761	1.41596	0.127891	8.85462
42	0.00414138	438.111	0.309282	1.36601	0.130808	8.66625
43	0.00424211	398.213	0.316803	1.30846	0.133725	8.43152
44	0.00434285	355.644	0.324323	1.24405	0.136641	8.16355
45	0.00444358	312.393	0.331844	1.17429	0.139558	7.8745
46	0.00454432	270.206	0.339365	1.10139	0.142475	7.57408
47	0.00464505	230.674	0.346886	1.02817	0.145391	7.26871
48	0.00474578	195.041	0.354407	0.957918	0.148308	6.96144
49	0.00484652	163.929	0.361928	0.89413	0.151225	6.65264
50	0.00494725	137.24	0.369449	0.840307	0.154141	6.341
51	0.00504799	114.334	0.37697	0.799707	0.157058	6.02479
52	0.00514872	94.405	0.384491	0.775129	0.159975	5.70292
53	0.00524945	76.8193	0.392011	0.768732	0.162891	5.37566
54	0.00535019	61.2755	0.399532	0.781881	0.165808	5.04495
55	0.00545092	47.7559	0.407053	0.815027	0.168725	4.71418
56	0.00555166	36.3569	0.414574	0.867621	0.171641	4.38768
57	0.00565239	27.1159	0.422095	0.93807	0.174558	4.07002
58	0.00575312	19.9182	0.429616	1.02373	0.177475	3.76529
59	0.00585386	14.4997	0.437137	1.12098	0.180391	3.47653
60	0.00595459	10.5117	0.444658	1.22533	0.183308	3.20538
61	0.00605533	7.60094	0.452178	1.33166	0.186225	2.95208
62	0.00615606	5.46666	0.459699	1.43452	0.189141	2.71567
63	0.00625679	3.88469	0.46722	1.52848	0.192058	2.49436
64	0.00635753	2.7033	0.474741	1.60857	0.194974	2.28598
65	0.00645826	1.82469	0.482262	1.67066	0.197891	2.08846
66	0.006559	1.18393	0.489783	1.71189	0.200808	1.90016
67	0.00665973	0.732617	0.497304	1.73086	0.203724	1.72003
68	0.00676046	0.429492	0.504825	1.72787	0.206641	1.54776
69	0.0068612	0.237246	0.512346	1.70481	0.209558	1.38363
70	0.00696193	0.122942	0.519866	1.66504	0.212474	1.22839
71	0.00706267	0.0595576	0.527387	1.613	0.215391	1.08304
72	0.0071634	0.0268965	0.534908	1.5538	0.218308	0.948551
73	0.00726413	0.0112985	0.542429	1.49268	0.221224	0.825751
74	0.00736487	0.00440709	0.54995	1.43453	0.224141	0.71512
75	0.0074656	0.00159402	0.557471	1.38343	0.227058	0.616742
76	0.00756634	0.000534042	0.564992	1.34232	0.229974	0.530297
77	0.00766707	0.000165583	0.572513	1.31278	0.232891	0.455107
78	0.0077678	4.74804e-05	0.580034	1.29504	0.235808	0.390225
79	0.00786854	1.25843e-05	0.587554	1.28802	0.238724	0.334544
80	0.00796927	3.0815e-06	0.595075	1.28958	0.241641	0.286893
81	0.00807001	6.96868e-07	0.602596	1.29684	0.244558	0.246131
82	0.00817074	1.455e-07	0.610117	1.3065	0.247474	0.2112
83	0.00827147	2.80405e-08	0.617638	1.31524	0.250391	0.18117
84	0.00837221	4.98686e-09	0.625159	1.31996	0.253308	0.155242
85	0.00847294	8.1829e-10	0.63268	1.31812	0.256224	0.132755
86	0.00857367	1.23868e-10	0.640201	1.30784	0.259141	0.113166
87	0.00867441	1.72951e-11	0.647721	1.28806	0.262058	0.09604
88	0.00877514	2.22716e-12	0.655242	1.25844	0.264974	0.0810293
89	0.00887588	2.64483e-13	0.662763	1.21939	0.267891	0.0678613
90	0.00897661	2.89617e-14	0.670284	1.17184	0.270807	0.056324
91	0.00907735	2.92414e-15	0.677805	1.11713	0.273724	0.0462526
92	0.00917808	2.722e-16	0.685326	1.05682	0.276641	0.0375174
93	0.00927881	2.33598e-17	0.692847	0.992506	0.279557	0.030011
94	0.00937955	1.84805e-18	0.700368	0.925682	0.282474	0.0236383
95	0.00948028	1.34774e-19	0.707889	0.857663	0.285391	0.0183071
