Sim	T1	W	k	Ratio_2014	Antigen_2016	MF_2016	ICCV
0	0.00484944	0.13301	0.273012	0.135843	5.73382	1.04584	0.3803
0	0.00484944	0.13301	0.273012	0.12872	5.58888	1.00048	0.5783
0	0.00484944	0.13301	0.273012	0.140161	6.04444	1.18586	0.4282
0	0.00484944	0.13301	0.273012	0.14152	5.24937	0.99172	0.5355
0	0.00484944	0.13301	0.273012	0.121269	5.47498	0.875997	0.4994
1	0.00595033	0.63449	0.114036	0.299129	13.4432	6.04148	0.1208
1	0.00595033	0.63449	0.114036	0.293919	12.9179	5.62502	0.0859
1	0.00595033	0.63449	0.114036	0.291355	13.5081	5.8062	0.0539
1	0.00595033	0.63449	0.114036	0.286415	13.4338	5.99062	0.2536
1	0.00595033	0.63449	0.114036	0.299143	12.9005	5.67032	0.0265
2	0.00804681	0.176651	0.197331	0.262403	11.9926	4.56166	0.3604
2	0.00804681	0.176651	0.197331	0.277962	13.5466	5.27928	0.3929
2	0.00804681	0.176651	0.197331	0.239769	10.9377	3.84963	0.2713
2	0.00804681	0.176651	0.197331	0.272815	12.3381	4.90192	0.2918
2	0.00804681	0.176651	0.197331	0.282978	12.2234	4.75131	0.275
3	0.000621631	0.667061	0.176473	0.0446052	2.28173	0.0115336	0.0929
3	0.000621631	0.667061	0.176473	0.0414129	2.29358	0.0212011	0.3137
3	0.000621631	0.667061	0.176473	0.0353443	2.28005	0.0095881	0.3782
3	0.000621631	0.667061	0.176473	0.0383889	2.19329	0.0115234	0.1396
3	0.000621631	0.667061	0.176473	0.0494822	2.43987	0.0326083	0.2708
4	0.00498604	0.388355	0.0937165	0.279299	10.6676	4.50677	0.2189
4	0.00498604	0.388355	0.0937165	0.30409	11.145	4.92394	0.0746
4	0.00498604	0.388355	0.0937165	0.310833	10.8771	4.82913	0.1308
4	0.00498604	0.388355	0.0937165	0.291579	11.3943	4.95329	0.2913
4	0.00498604	0.388355	0.0937165	0.322625	11.403	5.22975	0.1583
5	0.00769924	0.40539	0.0753612	0.463374	17.2971	10.5301	0.0417
5	0.00769924	0.40539	0.0753612	0.461007	18.3014	10.9547	0.0691
5	0.00769924	0.40539	0.0753612	0.459494	17.7531	10.5691	0.1433
