Sim	T1	W	k	Antigen_2016	MF_2016	ICCV
0	0.00484944	0.13301	0.273012	5.73382	1.04584	0.3803
0	0.00484944	0.13301	0.273012	5.58888	1.00048	0.5783
0	0.00484944	0.13301	0.273012	6.04444	1.18586	0.4282
0	0.00484944	0.13301	0.273012	5.24937	0.99172	0.5355
0	0.00484944	0.13301	0.273012	5.47498	0.875997	0.4994
1	0.00595033	0.63449	0.114036	13.4432	6.04148	0.1208
1	0.00595033	0.63449	0.114036	12.9179	5.62502	0.0859
1	0.00595033	0.63449	0.114036	13.5081	5.8062	0.0539
1	0.00595033	0.63449	0.114036	13.4338	5.99062	0.2536
1	0.00595033	0.63449	0.114036	12.9005	5.67032	0.0265
2	0.00804681	0.176651	0.197331	11.9926	4.56166	0.3604
2	0.00804681	0.176651	0.197331	13.5466	5.27928	0.3929
2	0.00804681	0.176651	0.197331	10.9377	3.84963	0.2713
2	0.00804681	0.176651	0.197331	12.3381	4.90192	0.2918
2	0.00804681	0.176651	0.197331	12.2234	4.75131	0.275
3	0.000621631	0.667061	0.176473	2.28173	0.0115336	0.0929
3	0.000621631	0.667061	0.176473	2.29358	0.0212011	0.3137
3	0.000621631	0.667061	0.176473	2.28005	0.0095881	0.3782
3	0.000621631	0.667061	0.176473	2.19329	0.0115234	0.1396
3	0.000621631	0.667061	0.176473	2.43987	0.0326083	0.2708
4	0.00498604	0.388355	0.0937165	10.6676	4.50677	0.2189
4	0.00498604	0.388355	0.0937165	11.145	4.92394	0.0746
4	0.00498604	0.388355	0.0937165	10.8771	4.82913	0.1308
4	0.00498604	0.388355	0.0937165	11.3943	4.95329	0.2913
4	0.00498604	0.388355	0.0937165	11.403	5.22975	0.1583
5	0.00769924	0.40539	0.0753612	17.2971	10.5301	0.0417
5	0.00769924	0.40539	0.0753612	18.3014	10.9547	0.0691
5	0.00769924	0.40539	0.0753612	17.7531	10.5691	0.1433
5	0.00769924	0.40539	0.0753612	18.0014	10.7138	0.1315
5	0.00769924	0.40539	0.0753612	17.3718	10.3071	0.2197
6	0.00368641	0.740602	0.196958	5.49132	0.799017	0.1554
6	0.00368641	0.740602	0.196958	5.78555	0.833365	0.2167
6	0.00368641	0.740602	0.196958	4.91138	0.720849	0.1882
6	0.00368641	0.740602	0.196958	4.7822	0.583617	0.3132
6	0.00368641	0.740602	0.196958	5.4195	0.847883	0.2507
7	0.00283225	0.514876	0.168761	4.69576	0.664784	0.3481
7	0.00283225	0.514876	0.168761	4.98055	0.676014	0.3209
7	0.00283225	0.514876	0.168761	4.55597	0.499152	0.1357
7	0.00283225	0.514876	0.168761	5.03002	0.660022	0.2167
7	0.00283225	0.514876	0.168761	4.61337	0.623065	0.1392
8	0.00773505	0.705801	0.0843031	16.9245	9.59236	0.1148
8	0.00773505	0.705801	0.0843031	17.7568	10.1698	0.0516
8	0.00773505	0.705801	0.0843031	18.2753	10.9048	0.1174
8	0.00773505	0.705801	0.0843031	17.6398	10.2834	0.0839
8	0.00773505	0.705801	0.0843031	18.3358	10.6853	0.0262
9	0.00825827	0.242957	0.274653	11.0872	3.42577	0.216
9	0.00825827	0.242957	0.274653	10.5815	3.21159	0.1564
9	0.00825827	0.242957	0.274653	11.9633	4.00952	0.2606
9	0.00825827	0.242957	0.274653	10.1626	2.92829	0.3505
9	0.00825827	0.242957	0.274653	10.0731	2.92805	0.3397
10	0.000449438	0.0961417	0.195077	2.12263	0.0211303	0.191
10	0.000449438	0.0961417	0.195077	2.19227	0.00382929	0.4766
10	0.000449438	0.0961417	0.195077	2.30452	0.00578057	0.2451
10	0.000449438	0.0961417	0.195077	2.08594	0.00384504	0.195
10	0.000449438	0.0961417	0.195077	2.09572	0.00384889	0.4831
11	0.00359185	0.0824477	0.0846324	7.25908	2.83338	0.5058
11	0.00359185	0.0824477	0.0846324	6.89316	2.63965	0.3534
11	0.00359185	0.0824477	0.0846324	6.88992	2.60102	0.4541
11	0.00359185	0.0824477	0.0846324	7.16853	2.82129	0.2642
11	0.00359185	0.0824477	0.0846324	6.96926	2.67707	0.2736
12	0.00835607	0.0620116	0.259191	9.63967	3.50323	0.3968
12	0.00835607	0.0620116	0.259191	10.4027	3.69822	0.4765
