number	T1	density	W	density	k	density
68	0.00677295	0.000342696	0.507861	2.13302	0.206171	5.13183
69	0.00687376	7.48121e-05	0.515425	2.01086	0.209092	4.92143
70	0.00697456	1.47112e-05	0.52299	1.87743	0.212013	4.65332
71	0.00707536	2.60494e-06	0.530555	1.73764	0.214934	4.33474
72	0.00717617	4.15261e-07	0.53812	1.59616	0.217856	3.97717
73	0.00727697	5.95879e-08	0.545684	1.45725	0.220777	3.59468
74	0.00737777	7.6962e-09	0.553249	1.32454	0.223698	3.20218
75	0.00747857	8.9468e-10	0.560814	1.20101	0.226619	2.81391
76	0.00757938	9.36146e-11	0.568379	1.08896	0.22954	2.44215
77	0.00768018	8.8171e-12	0.575943	0.990123	0.232462	2.09656
78	0.00778098	7.4756e-13	0.583508	0.905735	0.235383	1.78379
79	0.00788178	5.70611e-14	0.591073	0.836672	0.238304	1.50761
80	0.00798259	3.9214e-15	0.598638	0.783511	0.241225	1.26916
81	0.00808339	2.4265e-16	0.606203	0.746573	0.244147	1.06741
82	0.00818419	1.35201e-17	0.613767	0.725905	0.247068	0.899734
83	0.00828499	6.78344e-19	0.621332	0.721222	0.249989	0.762366
84	0.0083858	3.06475e-20	0.628897	0.731821	0.25291	0.650931
85	0.0084866	1.24681e-21	0.636462	0.756488	0.255832	0.560854
86	0.0085874	4.56709e-23	0.644026	0.793426	0.258753	0.487705
87	0.0086882	1.50616e-24	0.651591	0.840216	0.261674	0.427469
88	0.00878901	4.4714e-26	0.659156	0.893851	0.264595	0.376718
89	0.00888981	1.19478e-27	0.666721	0.950818	0.267516	0.332708
90	0.00899061	2.87298e-29	0.674285	1.00726	0.270438	0.293397
91	0.00909142	6.2157e-31	0.68185	1.05918	0.273359	0.257402
92	0.00919222	1.20968e-32	0.689415	1.10271	0.27628	0.223907
93	0.00929302	2.11727e-34	0.69698	1.13435	0.279201	0.192547
94	0.00939382	3.33206e-36	0.704544	1.15124	0.282123	0.163275
95	0.00949463	4.7139e-38	0.712109	1.15136	0.285044	0.136238
96	0.00959543	5.99353e-40	0.719674	1.13369	0.287965	0.111662
97	0.00969623	6.84738e-42	0.727239	1.09827	0.290886	0.0897635
98	0.00979703	7.02774e-44	0.734803	1.04621	0.293808	0.0706879
99	0.00989784	6.4784e-46	0.742368	0.979539	0.296729	0.0544735
100	0.00999864	5.36291e-48	0.749933	0.901056	0.29965	0.0410422
