number	T1	density	W	density	k	density
1	1.91751e-05	1.6523e-12	0.00102155	0.153335	0.0104482	0.00466208
2	0.000119978	1.80367e-11	0.00858631	0.182652	0.0133694	0.00689666
3	0.00022078	1.76533e-10	0.0161511	0.214612	0.0162907	0.0101088
4	0.000321583	1.54932e-09	0.0237158	0.248963	0.0192119	0.0147184
5	0.000422386	1.21949e-08	0.0312806	0.285441	0.0221331	0.0213286
6	0.000523189	8.61104e-08	0.0388454	0.323805	0.0250544	0.0307949
7	0.000623991	5.45691e-07	0.0464101	0.363873	0.0279756	0.0443035
8	0.000724794	3.10548e-06	0.0539749	0.405546	0.0308968	0.0634502
9	0.000825597	1.58867e-05	0.0615396	0.448821	0.033818	0.0903031
10	0.000926399	7.31707e-05	0.0691044	0.493788	0.0367393	0.127428
11	0.0010272	0.000304143	0.0766692	0.540601	0.0396605	0.177852
12	0.001128	0.00114512	0.0842339	0.589444	0.0425817	0.244938
13	0.00122881	0.0039267	0.0917987	0.640481	0.045503	0.332168
14	0.00132961	0.0123586	0.0993635	0.693806	0.0484242	0.442826
15	0.00143041	0.0360652	0.106928	0.749403	0.0513454	0.579623
16	0.00153122	0.0987463	0.114493	0.807129	0.0542667	0.744306
17	0.00163202	0.256541	0.122058	0.86672	0.0571879	0.937335
18	0.00173282	0.637148	0.129623	0.927827	0.0601091	1.15769
19	0.00183362	1.51448	0.137187	0.990082	0.0630303	1.40292
20	0.00193443	3.42768	0.144752	1.05318	0.0659516	1.66934
21	0.00203523	7.32295	0.152317	1.11696	0.0688728	1.95258
22	0.00213603	14.6397	0.159882	1.18146	0.071794	2.24815
23	0.00223683	27.2147	0.167446	1.24696	0.0747153	2.55215
24	0.00233764	46.9156	0.175011	1.31393	0.0776365	2.86182
25	0.00243844	75.0791	0.182576	1.38296	0.0805577	3.17589
26	0.00253924	112.044	0.190141	1.45456	0.083479	3.49476
27	0.00264004	157.113	0.197705	1.52906	0.0864002	3.82024
28	0.00274085	209.001	0.20527	1.60628	0.0893214	4.15518
29	0.00284165	266.407	0.212835	1.68546	0.0922427	4.50282
30	0.00294245	328.065	0.2204	1.76506	0.0951639	4.86609
31	0.00304326	392.003	0.227964	1.84275	0.0980851	5.24685
32	0.00314406	454.423	0.235529	1.91551	0.101006	5.64518
33	0.00324486	509.277	0.243094	1.97981	0.103928	6.05866
34	0.00334566	549.499	0.250659	2.03193	0.106849	6.48185
35	0.00344647	569.74	0.258223	2.06834	0.10977	6.90602
36	0.00354727	569.062	0.265788	2.0861	0.112691	7.3192
37	0.00364807	551.631	0.273353	2.08327	0.115612	7.70676
38	0.00374887	524.753	0.280918	2.05917	0.118534	8.05253
39	0.00384968	495.649	0.288483	2.01461	0.121455	8.34046
40	0.00395048	469.192	0.296047	1.95189	0.124376	8.55656
41	0.00405128	447.545	0.303612	1.87472	0.127297	8.6909
42	0.00415208	430.753	0.311177	1.78793	0.130219	8.73923
43	0.00425289	416.922	0.318742	1.69714	0.13314	8.70385
44	0.00435369	402.027	0.326306	1.6083	0.136061	8.59346
45	0.00445449	380.57	0.333871	1.52726	0.138982	8.42203
46	0.0045553	347.779	0.341436	1.45934	0.141904	8.20671
47	0.0046561	302.308	0.349001	1.40901	0.144825	7.96533
48	0.0047569	247.493	0.356565	1.37958	0.147746	7.71394
49	0.0048577	190.122	0.36413	1.37312	0.150667	7.46488
50	0.00495851	137.515	0.371695	1.39036	0.153588	7.22577
51	0.00505931	94.7477	0.37926	1.43077	0.15651	6.99965
52	0.00516011	63.4341	0.386824	1.49267	0.159431	6.78605
53	0.00526091	42.2743	0.394389	1.57334	0.162352	6.58277
54	0.00536172	28.5454	0.401954	1.66925	0.165273	6.38779
55	0.00546252	19.5299	0.409519	1.77615	0.168195	6.20086
56	0.00556332	13.2899	0.417083	1.8893	0.171116	6.02435
57	0.00566413	8.76029	0.424648	2.00359	0.174037	5.86312
58	0.00576493	5.46244	0.432213	2.11372	0.176958	5.7235
59	0.00586573	3.16778	0.439778	2.21441	0.17988	5.61153
60	0.00596653	1.69008	0.447343	2.30063	0.182801	5.53105
61	0.00606734	0.823988	0.454907	2.36782	0.185722	5.48196
62	0.00616814	0.365559	0.462472	2.41222	0.188643	5.4592
63	0.00626894	0.147162	0.470037	2.43102	0.191564	5.45264
64	0.00636974	0.0536493	0.477602	2.42267	0.194486	5.44804
65	0.00647055	0.0176855	0.485166	2.38694	0.197407	5.42885
66	0.00657135	0.00526559	0.492731	2.32496	0.200328	5.3785
67	0.00667215	0.00141465	0.500296	2.23915	0.203249	5.28278
