Sim	T1	W	k	Ratio_2014	Antigen_2016	MF_2016	ICCV
0	0.00568634	0.532921	0.252928	0.0980324	5.65195	0.63026	0.3979
0	0.00568634	0.532921	0.252928	0.118036	5.76973	0.752573	0.2608
0	0.00568634	0.532921	0.252928	0.0782083	5.29016	0.34638	0.5157
0	0.00568634	0.532921	0.252928	0.112897	5.50361	0.673196	0.1754
0	0.00568634	0.532921	0.252928	0.0735444	5.45146	0.370685	0.0573
1	0.00678768	0.571107	0.291666	0.0812113	5.85421	0.500628	0.0371
1	0.00678768	0.571107	0.291666	0.0895718	6.10052	0.523483	0.296
1	0.00678768	0.571107	0.291666	0.0950241	6.10581	0.617773	0.2032
1	0.00678768	0.571107	0.291666	0.079115	5.7251	0.446783	0.3901
1	0.00678768	0.571107	0.291666	0.0933165	6.32822	0.611932	0.312
2	0.00902575	0.40154	0.0214244	0.569243	8.17514	5.22394	0.1114
2	0.00902575	0.40154	0.0214244	0.569473	8.26959	5.31722	0.015
2	0.00902575	0.40154	0.0214244	0.570124	8.25927	5.25724	0.0748
2	0.00902575	0.40154	0.0214244	0.554463	8.1647	5.24213	0.1608
2	0.00902575	0.40154	0.0214244	0.568833	8.21857	5.35671	0.1017
3	0.00740517	0.360403	0.295593	0.0900759	6.39082	0.611632	0.2946
3	0.00740517	0.360403	0.295593	0.125553	6.80653	1.01016	0.2393
3	0.00740517	0.360403	0.295593	0.0926844	6.76909	0.66058	0.3334
3	0.00740517	0.360403	0.295593	0.103865	7.01877	0.791966	0.2261
3	0.00740517	0.360403	0.295593	0.130952	7.27206	1.12034	0.2722
4	0.00996621	0.557513	0.200748	0.203151	13.2606	3.61737	0.1929
4	0.00996621	0.557513	0.200748	0.182701	11.6928	3.12979	0.2082
4	0.00996621	0.557513	0.200748	0.166741	11.7767	2.88752	0.0714
4	0.00996621	0.557513	0.200748	0.183656	12.1419	3.09962	0.1338
4	0.00996621	0.557513	0.200748	0.189262	13.0096	3.52694	0.2149
5	0.00772033	0.746207	0.156176	0.18662	10.1052	2.61657	0.1627
5	0.00772033	0.746207	0.156176	0.172675	9.52733	2.29772	0.1119
5	0.00772033	0.746207	0.156176	0.180373	10.1564	2.38812	0.212
5	0.00772033	0.746207	0.156176	0.196863	9.62855	2.59351	0.1879
5	0.00772033	0.746207	0.156176	0.193449	9.94174	2.77444	0.1559
6	0.00989488	0.612587	0.182649	0.212635	12.7727	3.67358	0.1117
6	0.00989488	0.612587	0.182649	0.165631	11.3154	2.72501	0.1238
6	0.00989488	0.612587	0.182649	0.199822	11.7593	3.23213	0.1379
6	0.00989488	0.612587	0.182649	0.208232	12.1448	3.50453	0.1191
6	0.00989488	0.612587	0.182649	0.200615	13.289	3.86412	0.1617
7	0.00949024	0.0658897	0.270025	0.191823	9.14329	2.34723	0.3019
7	0.00949024	0.0658897	0.270025	0.134997	8.82831	1.66857	0.2748
7	0.00949024	0.0658897	0.270025	0.152941	9.0187	1.87188	0.3866
7	0.00949024	0.0658897	0.270025	0.152749	9.21198	1.83796	0.5256
