number	T1	density	W	density	k	density
1	2.27738e-05	1.20966e-13	3.69383e-05	0.329675	0.0103887	0.336634
2	0.00012345	1.17379e-12	0.00760166	0.395835	0.0133046	0.439675
3	0.000224125	1.05064e-11	0.0151664	0.469506	0.0162204	0.564583
4	0.000324801	8.67493e-11	0.0227311	0.550462	0.0191363	0.714351
5	0.000425477	6.60748e-10	0.0302958	0.638273	0.0220521	0.892562
6	0.000526152	4.64284e-09	0.0378605	0.732275	0.024968	1.10355
7	0.000626828	3.00976e-08	0.0454252	0.831541	0.0278839	1.35243
8	0.000727504	1.80015e-07	0.05299	0.934853	0.0307997	1.64494
9	0.00082818	9.93473e-07	0.0605547	1.04069	0.0337156	1.98714
10	0.000928855	5.05968e-06	0.0681194	1.14721	0.0366315	2.38481
11	0.00102953	2.37836e-05	0.0756841	1.25235	0.0395473	2.84289
12	0.00113021	0.000103207	0.0832488	1.35383	0.0424632	3.36485
13	0.00123088	0.000413556	0.0908135	1.44938	0.045379	3.95221
14	0.00133156	0.00153078	0.0983783	1.53685	0.0482949	4.60417
15	0.00143223	0.00523669	0.105943	1.61446	0.0512108	5.31747
16	0.00153291	0.0165669	0.113508	1.68105	0.0541266	6.08629
17	0.00163359	0.0485111	0.121072	1.73625	0.0570425	6.90209
18	0.00173426	0.131626	0.128637	1.78064	0.0599583	7.7534
19	0.00183494	0.331417	0.136202	1.81588	0.0628742	8.62539
20	0.00193561	0.775821	0.143767	1.84464	0.0657901	9.49956
21	0.00203629	1.69251	0.151331	1.87047	0.0687059	10.3535
22	0.00213696	3.45109	0.158896	1.89757	0.0716218	11.1611
23	0.00223764	6.60001	0.166461	1.93038	0.0745377	11.8935
24	0.00233832	11.8857	0.174025	1.97322	0.0774535	12.521
25	0.00243899	20.2431	0.18159	2.02977	0.0803694	13.0155
26	0.00253967	32.7504	0.189155	2.10264	0.0832852	13.3531
27	0.00264034	50.5468	0.19672	2.19298	0.0862011	13.5175
28	0.00274102	74.7113	0.204284	2.3002	0.089117	13.5023
29	0.00284169	106.113	0.211849	2.42183	0.0920328	13.3119
30	0.00294237	145.264	0.219414	2.55355	0.0949487	12.9617
31	0.00304305	192.208	0.226978	2.68942	0.0978646	12.4765
32	0.00314372	246.495	0.234543	2.82222	0.10078	11.8871
33	0.0032444	307.183	0.242108	2.94403	0.103696	11.2268
34	0.00334507	372.788	0.249673	3.04682	0.106612	10.528
35	0.00344575	441.086	0.257237	3.12312	0.109528	9.81846
36	0.00354642	508.803	0.264802	3.16662	0.112444	9.11955
37	0.0036471	571.388	0.272367	3.17279	0.11536	8.44548
38	0.00374778	623.216	0.279931	3.1392	0.118276	7.80379
39	0.00384845	658.421	0.287496	3.06576	0.121191	7.19669
40	0.00394913	672.272	0.295061	2.95472	0.124107	6.6229
41	0.0040498	662.634	0.302626	2.81044	0.127023	6.07942
42	0.00415048	630.833	0.31019	2.63903	0.129939	5.56293
43	0.00425115	581.465	0.317755	2.44784	0.132855	5.07062
44	0.00435183	521.144	0.32532	2.24483	0.135771	4.60061
45	0.00445251	456.701	0.332885	2.03804	0.138687	4.15198
46	0.00455318	393.601	0.340449	1.83501	0.141602	3.72455
47	0.00465386	335.114	0.348014	1.64234	0.144518	3.31874
