what	T1	W	k
mode	0.00473421	0.499793	0.11298
mean	0.498914	0.479828	0.426637
median	0.00489453	0.353901	0.120239
quantile_50_lower_bound	0.00447869	0.183974	0.102896
quantile_50_upper_bound	0.00540201	0.516526	0.142885
quantile_90_lower_bound	0.00388233	0.0719066	0.0763283
quantile_90_upper_bound	0.00618722	0.66702	0.17728
quantile_95_lower_bound	0.00367222	0.0467127	0.0664658
quantile_95_upper_bound	0.0064227	0.703993	0.187672
quantile_99_lower_bound	0.00327294	0.0126394	0.0490929
quantile_99_upper_bound	0.00685716	0.737435	0.207594
HPD_50_lower_bound	0.00453336	0.105401	0.0955247
HPD_50_upper_bound	0.00513564	0.561255	0.133355
HPD_90_lower_bound	0.00407575	0.0534446	0.0780346
HPD_90_upper_bound	0.00589413	0.635911	0.177116
HPD_95_lower_bound	0.00384976	0.0383657	0.0663537
HPD_95_upper_bound	0.00622042	0.681256	0.185878
HPD_99_lower_bound	0.00345955	0.030793	0.0488272
HPD_99_upper_bound	0.00661063	0.741795	0.206323
