Sim	T1	W	k	Ratio_2014	Antigen_2016	MF_2016	ICCV
0	0.000717744	0.0503934	0.0472674	0.0734669	2.42846	0.134807	0.2181
0	0.000717744	0.0503934	0.0472674	0.0709639	2.44113	0.103633	0.269
0	0.000717744	0.0503934	0.0472674	0.0868531	2.54777	0.178421	0.2803
0	0.000717744	0.0503934	0.0472674	0.0721957	2.34616	0.124796	0.1712
0	0.000717744	0.0503934	0.0472674	0.0676301	2.51173	0.126449	0.218
1	0.00469703	0.323212	0.293825	0.089208	4.23753	0.33439	0.5251
1	0.00469703	0.323212	0.293825	0.0730769	4.15121	0.263294	0.3928
1	0.00469703	0.323212	0.293825	0.090835	4.4572	0.424404	0.3068
1	0.00469703	0.323212	0.293825	0.0869012	4.34257	0.343643	0.2227
1	0.00469703	0.323212	0.293825	0.0878489	4.49306	0.297349	0.2738
2	0.00508092	0.306143	0.193745	0.123335	5.30593	0.745334	0.4063
2	0.00508092	0.306143	0.193745	0.146088	5.55075	0.934094	0.2142
2	0.00508092	0.306143	0.193745	0.135023	5.40515	0.855062	0.2386
2	0.00508092	0.306143	0.193745	0.114362	5.31766	0.715286	0.3877
2	0.00508092	0.306143	0.193745	0.136719	5.83421	1.00774	0.3313
3	0.00354048	0.480752	0.123099	0.130332	5.11951	0.803174	0.2844
3	0.00354048	0.480752	0.123099	0.133196	4.78444	0.722361	0.2905
3	0.00354048	0.480752	0.123099	0.123503	4.72104	0.679645	0.2979
3	0.00354048	0.480752	0.123099	0.126487	5.09078	0.76929	0.3013
3	0.00354048	0.480752	0.123099	0.132411	5.11343	0.761328	0.2358
4	0.00945105	0.244547	0.227269	0.185547	8.63315	2.10255	0.3246
4	0.00945105	0.244547	0.227269	0.18122	8.03738	1.98435	0.3102
4	0.00945105	0.244547	0.227269	0.19972	9.06787	2.3884	0.4307
4	0.00945105	0.244547	0.227269	0.182199	8.92648	2.27058	0.3777
4	0.00945105	0.244547	0.227269	0.206235	9.52536	2.53254	0.3808
5	0.00501005	0.306749	0.0533245	0.279606	6.77232	2.51998	0.3474
5	0.00501005	0.306749	0.0533245	0.304217	7.03606	2.88467	0.3018
