number	T1	density	W	density	k	density
48	0.00473421	622.425	0.356028	0.939638	0.148008	7.64079
49	0.0048345	615.05	0.363594	0.884459	0.150927	7.24673
50	0.00493479	587.661	0.371161	0.839659	0.153846	6.84404
51	0.00503509	546.624	0.378728	0.810019	0.156765	6.41867
52	0.00513538	499.161	0.386294	0.800122	0.159684	5.96599
53	0.00523568	451.439	0.393861	0.813975	0.162603	5.48935
54	0.00533597	407.337	0.401427	0.854638	0.165522	4.99746
55	0.00543627	368.204	0.408994	0.923868	0.168441	4.50165
56	0.00553656	333.446	0.416561	1.02182	0.17136	4.01348
57	0.00563686	301.512	0.424127	1.14685	0.174279	3.54312
58	0.00573715	270.823	0.431694	1.29539	0.177198	3.09852
59	0.00583744	240.363	0.439261	1.46205	0.180118	2.68521
60	0.00593774	209.856	0.446827	1.63979	0.183037	2.30652
61	0.00603803	179.656	0.454394	1.82032	0.185956	1.96404
62	0.00613833	150.486	0.46196	1.99466	0.188875	1.65798
63	0.00623862	123.175	0.469527	2.15371	0.191794	1.38757
64	0.00633892	98.451	0.477094	2.28903	0.194713	1.1513
65	0.00643921	76.814	0.48466	2.39344	0.197632	0.947072
66	0.0065395	58.496	0.492227	2.46165	0.200551	0.772407
67	0.0066398	43.4731	0.499793	2.49067	0.20347	0.624536
68	0.00674009	31.5204	0.50736	2.48	0.206389	0.500556
69	0.00684039	22.2825	0.514927	2.43161	0.209308	0.397562
70	0.00694068	15.342	0.522493	2.34968	0.212227	0.312763
71	0.00704098	10.2736	0.53006	2.24011	0.215146	0.243565
72	0.00714127	6.67972	0.537627	2.10994	0.218065	0.187625
73	0.00724156	4.2099	0.545193	1.96667	0.220984	0.142861
74	0.00734186	2.56831	0.55276	1.81762	0.223903	0.107445
75	0.00744215	1.5152	0.560326	1.66937	0.226822	0.0797784
76	0.00754245	0.864121	0.567893	1.52732	0.229741	0.0584649
77	0.00764274	0.476471	0.57546	1.3955	0.23266	0.0422909
78	0.00774304	0.25417	0.583026	1.27648	0.235579	0.0302083
79	0.00784333	0.131279	0.590593	1.17149	0.238498	0.0213236
80	0.00794362	0.0657041	0.59816	1.08062	0.241417	0.01489
81	0.00804392	0.0318807	0.605726	1.00316	0.244336	0.0102971
82	0.00814421	0.0149979	0.613293	0.937861	0.247255	0.00705963
83	0.00824451	0.00683801	0.620859	0.883259	0.250174	0.00480196
84	0.0083448	0.00301923	0.628426	0.837869	0.253093	0.00324141
85	0.0084451	0.00128974	0.635993	0.80034	0.256012	0.0021705
86	0.00854539	0.000532449	0.643559	0.769502	0.258931	0.00144022
87	0.00864568	0.000212202	0.651126	0.744357	0.26185	0.000945409
88	0.00874598	8.15505e-05	0.658693	0.724001	0.264769	0.000612643
89	0.00884627	3.01837e-05	0.666259	0.707543	0.267688	0.000390986
90	0.00894657	1.0744e-05	0.673826	0.694018	0.270607	0.000245146
91	0.00904686	3.67173e-06	0.681392	0.682331	0.273526	0.000150653
92	0.00914716	1.20232e-06	0.688959	0.671246	0.276445	9.05505e-05
93	0.00924745	3.76404e-07	0.696526	0.659429	0.279364	5.31294e-05
94	0.00934774	1.12395e-07	0.704092	0.645527	0.282283	3.0381e-05
95	0.00944804	3.19346e-08	0.711659	0.628292	0.285202	1.6908e-05
96	0.00954833	8.61398e-09	0.719226	0.606701	0.288121	9.14756e-06
97	0.00964863	2.20117e-09	0.726792	0.580071	0.29104	4.80652e-06
98	0.00974892	5.31848e-10	0.734359	0.548149	0.293959	2.45093e-06
99	0.00984922	1.2131e-10	0.741925	0.51114	0.296878	1.21207e-06
100	0.00994951	2.6084e-11	0.749492	0.4697	0.299797	5.81021e-07
