number	T1	density	W	density	k	density
1	2.03741e-05	1.36977e-16	0.000396478	0.272805	0.0108148	0.00204454
2	0.000120668	1.2138e-15	0.0079631	0.339061	0.0137338	0.00368135
3	0.000220963	1.00805e-14	0.0155297	0.414621	0.0166528	0.00644719
4	0.000321257	7.84636e-14	0.0230963	0.499108	0.0195718	0.0109867
5	0.000421551	5.72436e-13	0.030663	0.591777	0.0224908	0.0182251
6	0.000521846	3.91457e-12	0.0382296	0.691544	0.0254099	0.0294387
7	0.00062214	2.5094e-11	0.0457962	0.797049	0.0283289	0.0463168
8	0.000722434	1.50809e-10	0.0533628	0.90674	0.0312479	0.0709968
9	0.000822728	8.49785e-10	0.0609294	1.01897	0.0341669	0.106051
10	0.000923023	4.49034e-09	0.0684961	1.13207	0.0370859	0.154408
11	0.00102332	2.22547e-08	0.0760627	1.24447	0.0400049	0.219188
12	0.00112361	1.03477e-07	0.0836293	1.35466	0.0429239	0.303462
13	0.00122391	4.51517e-07	0.0911959	1.46126	0.0458429	0.409958
14	0.0013242	1.84962e-06	0.0987626	1.56296	0.048762	0.540783
15	0.00142449	7.11664e-06	0.106329	1.65851	0.051681	0.697233
16	0.00152479	2.5734e-05	0.113896	1.7466	0.0546	0.87983
17	0.00162508	8.75177e-05	0.121462	1.8259	0.057519	1.08866
18	0.00172538	0.00028017	0.129029	1.89503	0.060438	1.32411
19	0.00182567	0.00084517	0.136596	1.95261	0.063357	1.58793
20	0.00192597	0.00240547	0.144162	1.99733	0.066276	1.8846
21	0.00202626	0.00646859	0.151729	2.02811	0.069195	2.22256
22	0.00212655	0.0164613	0.159296	2.04422	0.0721141	2.61512
23	0.00222685	0.0397112	0.166862	2.04544	0.0750331	3.08046
24	0.00232714	0.0909764	0.174429	2.03212	0.0779521	3.64032
25	0.00242744	0.198279	0.181995	2.00528	0.0808711	4.31725
26	0.00252773	0.411785	0.189562	1.96657	0.0837901	5.13027
27	0.00262803	0.816071	0.197129	1.91818	0.0867091	6.08953
28	0.00272832	1.54512	0.204695	1.86273	0.0896281	7.19075
29	0.00282861	2.79755	0.212262	1.80302	0.0925471	8.4107
30	0.00292891	4.84761	0.219829	1.74187	0.0954662	9.70498
31	0.0030292	8.04625	0.227395	1.68187	0.0983852	11.0092
32	0.0031295	12.8088	0.234962	1.62522	0.101304	12.2444
33	0.00322979	19.5927	0.242528	1.57352	0.104223	13.3255
34	0.00333009	28.8815	0.250095	1.5277	0.107142	14.1733
35	0.00343038	41.199	0.257662	1.48795	0.110061	14.7258
36	0.00353067	57.1774	0.265228	1.45374	0.11298	14.9483
37	0.00363097	77.6751	0.272795	1.42389	0.115899	14.8395
38	0.00373126	103.892	0.280361	1.3967	0.118818	14.4313
39	0.00383156	137.371	0.287928	1.37013	0.121737	13.7842
40	0.00393185	179.762	0.295495	1.34201	0.124656	12.9764
41	0.00403215	232.261	0.303061	1.31029	0.127575	12.0918
42	0.00413244	294.798	0.310628	1.27329	0.130494	11.2072
43	0.00423273	365.211	0.318195	1.22991	0.133413	10.3818
44	0.00433303	438.806	0.325761	1.17983	0.136332	9.65144
45	0.00443332	508.661	0.333328	1.12369	0.139251	9.02783
46	0.00453362	566.834	0.340894	1.06307	0.14217	8.50166
47	0.00463391	606.214	0.348461	1.00057	0.145089	8.04934
