number	T1	density	W	density	k	density
1	4.58858e-06	8.94405e-22	0.00110909	1.01163	0.0111634	7.61653e-05
2	0.000105541	2.31066e-20	0.00867213	1.08039	0.0140747	0.000174161
3	0.000206492	5.38125e-19	0.0162352	1.13991	0.016986	0.000385131
4	0.000307444	1.12983e-17	0.0237982	1.18941	0.0198973	0.000823834
5	0.000408396	2.13874e-16	0.0313612	1.22866	0.0228086	0.00170517
6	0.000509348	3.65066e-15	0.0389243	1.25797	0.0257199	0.00341603
7	0.0006103	5.61958e-14	0.0464873	1.27813	0.0286313	0.0066258
8	0.000711252	7.80232e-13	0.0540504	1.29034	0.0315426	0.012447
9	0.000812204	9.77254e-12	0.0616134	1.29615	0.0344539	0.0226541
10	0.000913156	1.10445e-10	0.0691764	1.2974	0.0373652	0.0399614
11	0.00101411	1.12656e-09	0.0767395	1.2961	0.0402765	0.0683443
12	0.00111506	1.03742e-08	0.0843025	1.29439	0.0431878	0.113367
13	0.00121601	8.62771e-08	0.0918656	1.29441	0.0460991	0.182451
14	0.00131696	6.48273e-07	0.0994286	1.29819	0.0490104	0.284988
15	0.00141792	4.40295e-06	0.106992	1.30753	0.0519217	0.432186
16	0.00151887	2.70449e-05	0.114555	1.32383	0.054833	0.636516
17	0.00161982	0.000150332	0.122118	1.34797	0.0577443	0.910678
18	0.00172077	0.000756737	0.129681	1.38018	0.0606557	1.26604
19	0.00182172	0.00345224	0.137244	1.41996	0.063567	1.71065
20	0.00192268	0.0142854	0.144807	1.46612	0.0664783	2.24697
21	0.00202363	0.0536678	0.15237	1.51681	0.0693896	2.86979
22	0.00212458	0.183228	0.159933	1.56971	0.0723009	3.56457
23	0.00222553	0.569067	0.167496	1.62224	0.0752122	4.30693
24	0.00232648	1.6094	0.175059	1.67183	0.0781235	5.06347
25	0.00242744	4.14882	0.182622	1.71615	0.0810348	5.7942
26	0.00252839	9.75768	0.190185	1.75336	0.0839461	6.45643
27	0.00262934	20.9556	0.197748	1.78224	0.0868574	7.00976
28	0.00273029	41.1262	0.205311	1.80226	0.0897688	7.42131
29	0.00283124	73.8076	0.212874	1.81353	0.0926801	7.67033
30	0.00293219	121.211	0.220437	1.81673	0.0955914	7.75142
31	0.00303315	182.3	0.228	1.81289	0.0985027	7.67565
32	0.0031341	251.374	0.235563	1.80327	0.101414	7.46928
33	0.00323505	318.393	0.243126	1.78912	0.104325	7.17047
34	0.003336	371.693	0.250689	1.77164	0.107237	6.82436
35	0.00343695	402.391	0.258252	1.75187	0.110148	6.47758
36	0.00353791	408.392	0.265815	1.73069	0.113059	6.17281
37	0.00363886	395.681	0.273378	1.70886	0.115971	5.94443
38	0.00373981	375.931	0.280942	1.68705	0.118882	5.81558
39	0.00384076	361.65	0.288505	1.66593	0.121793	5.79693
40	0.00394171	361.449	0.296068	1.64612	0.124704	5.88715
41	0.00404267	377.739	0.303631	1.62826	0.127616	6.0748
42	0.00414362	407.41	0.311194	1.6129	0.130527	6.34122
43	0.00424457	444.302	0.318757	1.60045	0.133438	6.6641
44	0.00434552	481.622	0.32632	1.59114	0.13635	7.02085
45	0.00444647	513.138	0.333883	1.58487	0.139261	7.39157
46	0.00454743	533.284	0.341446	1.58125	0.142172	7.76071
47	0.00464838	537.175	0.349009	1.57954	0.145084	8.11748
48	0.00474933	521.339	0.356572	1.57869	0.147995	8.4547
49	0.00485028	485.055	0.364135	1.5774	0.150906	8.76663
50	0.00495123	431.285	0.371698	1.57421	0.153818	9.04641
51	0.00505219	366.262	0.379261	1.56763	0.156729	9.28391
52	0.00515314	297.725	0.386824	1.55627	0.15964	9.46482
53	0.00525409	232.683	0.394387	1.53893	0.162551	9.57134
54	0.00535504	175.829	0.40195	1.51475	0.165463	9.58457
55	0.00545599	129.147	0.409513	1.48329	0.168374	9.48788
56	0.00555694	92.4913	0.417076	1.4446	0.171285	9.27049
57	0.0056579	64.5568	0.424639	1.39926	0.174197	8.93031
58	0.00575885	43.7204	0.432202	1.34833	0.177108	8.47521
59	0.0058598	28.5128	0.439765	1.29327	0.180019	7.92244
60	0.00596075	17.7462	0.447328	1.2359	0.182931	7.29646
61	0.0060617	10.453	0.454891	1.17819	0.185842	6.62559
62	0.00616266	5.79251	0.462454	1.12215	0.188753	5.93844
63	0.00626361	3.0142	0.470018	1.06967	0.191665	5.2608
64	0.00636456	1.4784	0.477581	1.02242	0.194576	4.61347
65	0.00646551	0.690735	0.485144	0.981773	0.197487	4.01128
66	0.00656646	0.312646	0.492707	0.948764	0.200399	3.46312
67	0.00666742	0.139663	0.50027	0.924114	0.20331	2.97275
68	0.00676837	0.0622763	0.507833	0.908258	0.206221	2.5399
