Sim	T1	W	k	Ratio_2014	Antigen_2016	MF_2016	ICCV
0	0.00918423	0.356972	0.0908531	0.389054	15.3432	7.8755	0.2315
0	0.00918423	0.356972	0.0908531	0.377092	14.895	7.59391	0.0861
0	0.00918423	0.356972	0.0908531	0.391875	14.5892	7.26478	0.0833
0	0.00918423	0.356972	0.0908531	0.388383	14.8098	7.59618	0.1255
0	0.00918423	0.356972	0.0908531	0.395449	14.7571	7.55514	0.1381
1	0.00549463	0.215572	0.230701	0.141991	6.20983	1.11532	0.2065
1	0.00549463	0.215572	0.230701	0.14349	6.45939	1.20611	0.2982
1	0.00549463	0.215572	0.230701	0.149592	6.15231	1.22317	0.2885
1	0.00549463	0.215572	0.230701	0.149523	6.55162	1.27696	0.4984
1	0.00549463	0.215572	0.230701	0.142469	6.46539	1.16608	0.1155
2	0.00804478	0.322237	0.0354417	0.516913	10.6352	6.60535	0.0346
2	0.00804478	0.322237	0.0354417	0.53356	10.815	6.64694	0.2073
2	0.00804478	0.322237	0.0354417	0.517993	10.5877	6.54035	0.1021
2	0.00804478	0.322237	0.0354417	0.538825	11.1903	6.98456	0.0709
2	0.00804478	0.322237	0.0354417	0.526029	10.6735	6.62531	0.0402
3	0.00515271	0.602819	0.0371278	0.435579	9.10469	5.02255	0.1079
3	0.00515271	0.602819	0.0371278	0.442203	9.45336	5.29157	0.1231
3	0.00515271	0.602819	0.0371278	0.440743	9.41077	5.25172	0.1039
3	0.00515271	0.602819	0.0371278	0.46916	8.99236	5.08423	0.1084
3	0.00515271	0.602819	0.0371278	0.444117	8.87904	4.87398	0.0313
4	0.00995974	0.109449	0.0968024	0.423102	12.922	6.57548	0.3082
4	0.00995974	0.109449	0.0968024	0.41227	13.1997	6.83453	0.2355
4	0.00995974	0.109449	0.0968024	0.41636	13.1398	6.58819	0.1355
4	0.00995974	0.109449	0.0968024	0.421042	14.6062	7.4298	0.2104
4	0.00995974	0.109449	0.0968024	0.412616	12.8842	6.51694	0.2086
5	0.00235333	0.489291	0.102702	0.131119	4.47965	0.685484	0.183
5	0.00235333	0.489291	0.102702	0.127927	4.32843	0.656635	0.1435
