what	T1	W	k
mode	0.00464838	0.220437	0.165463
mean	0.424492	0.473651	0.484672
median	0.00429939	0.3289	0.143406
quantile_50_lower_bound	0.00365687	0.184024	0.10485
quantile_50_upper_bound	0.00478249	0.518236	0.17093
quantile_90_lower_bound	0.0030995	0.040921	0.075649
quantile_90_upper_bound	0.00534976	0.695858	0.202238
quantile_95_lower_bound	0.00296118	0.0204848	0.06859
quantile_95_upper_bound	0.0055298	0.719346	0.212662
quantile_99_lower_bound	0.00270984	0.0022701	0.0558831
quantile_99_upper_bound	0.00587561	0.739796	0.231959
HPD_50_lower_bound	0.00328381	0.129819	0.089379
HPD_50_upper_bound	0.00510438	0.424501	0.180409
HPD_90_lower_bound	0.00324438	0.00831641	0.0753272
HPD_90_upper_bound	0.0051438	0.719954	0.197372
HPD_95_lower_bound	0.00300405	0.000909734	0.0665925
HPD_95_upper_bound	0.00538414	0.734923	0.206107
HPD_99_lower_bound	0.00280005	0.00118473	0.0549033
HPD_99_upper_bound	0.00579004	0.734648	0.229441
