Sim	T1	k	Ratio_2014	Antigen_2016	MF_2016
0	0.000635745	0.0209088	0.0981781	3.20925	0.369303
0	0.000635745	0.0209088	0.107017	3.25493	0.456022
0	0.000635745	0.0209088	0.0899636	3.04939	0.310295
0	0.000635745	0.0209088	0.0842607	3.01658	0.301288
0	0.000635745	0.0209088	0.082001	2.98161	0.301842
1	0.00497707	0.0658387	0.29968	11.5401	5.0587
1	0.00497707	0.0658387	0.295762	11.28	4.8863
1	0.00497707	0.0658387	0.297795	11.6317	4.97894
1	0.00497707	0.0658387	0.29809	11.6454	4.9286
1	0.00497707	0.0658387	0.295711	11.6332	5.01283
2	0.00358913	0.094873	0.137531	7.18254	1.32578
2	0.00358913	0.094873	0.137029	7.30155	1.31933
2	0.00358913	0.094873	0.137942	6.81738	1.18306
2	0.00358913	0.094873	0.134615	7.11485	1.30147
2	0.00358913	0.094873	0.146739	7.59248	1.43617
3	0.0046665	0.0111414	0.486368	5.48973	3.27351
3	0.0046665	0.0111414	0.491114	5.37217	3.21078
3	0.0046665	0.0111414	0.491979	5.45955	3.20846
3	0.0046665	0.0111414	0.491405	5.47341	3.29397
3	0.0046665	0.0111414	0.501563	5.45182	3.15573
4	0.00493867	0.0657577	0.303666	11.798	5.15965
4	0.00493867	0.0657577	0.278913	11.1933	4.77706
4	0.00493867	0.0657577	0.281715	10.8921	4.49552
4	0.00493867	0.0657577	0.274063	10.8236	4.39013
4	0.00493867	0.0657577	0.275212	10.8667	4.64317
5	0.00234221	0.0189345	0.360137	5.98758	2.85746
5	0.00234221	0.0189345	0.360473	5.67939	2.81017
5	0.00234221	0.0189345	0.375994	5.86844	2.9878
5	0.00234221	0.0189345	0.348762	5.6392	2.76134
5	0.00234221	0.0189345	0.364349	5.6221	2.73503
6	0.00252819	0.0118187	0.388357	4.92825	2.47519
6	0.00252819	0.0118187	0.385709	4.89696	2.47816
6	0.00252819	0.0118187	0.383484	4.92404	2.41783
6	0.00252819	0.0118187	0.404006	4.97375	2.50998
6	0.00252819	0.0118187	0.380665	4.99732	2.5356
7	0.00627319	0.0193534	0.557642	7.80123	5.0135
7	0.00627319	0.0193534	0.556791	7.69712	4.83993
7	0.00627319	0.0193534	0.555816	7.79316	4.96464
7	0.00627319	0.0193534	0.543943	7.72607	4.94292
7	0.00627319	0.0193534	0.550118	7.74679	4.92659
8	0.00867696	0.0276333	0.570588	10.1564	6.69461
8	0.00867696	0.0276333	0.578211	10.1625	6.62515
8	0.00867696	0.0276333	0.603914	10.1447	6.70785
8	0.00867696	0.0276333	0.587721	10.4237	6.89063
8	0.00867696	0.0276333	0.592328	10.5962	6.97425
9	0.0081323	0.036815	0.530372	12.0228	7.63926
9	0.0081323	0.036815	0.539238	12.1423	7.5463
9	0.0081323	0.036815	0.546226	12.0305	7.55869
9	0.0081323	0.036815	0.545986	12.061	7.57545
9	0.0081323	0.036815	0.533193	11.9166	7.46986
10	0.00994265	0.0107605	0.590012	6.12464	4.019
10	0.00994265	0.0107605	0.587635	6.03496	3.9303
10	0.00994265	0.0107605	0.562462	6.07746	3.94298
10	0.00994265	0.0107605	0.579957	5.98925	3.87561
10	0.00994265	0.0107605	0.58151	6.12034	3.96282
11	0.00548779	0.089336	0.227652	11.6641	4.09113
11	0.00548779	0.089336	0.214557	11.4266	3.92269
11	0.00548779	0.089336	0.22893	11.7071	4.15455
11	0.00548779	0.089336	0.223089	11.8137	4.09739
11	0.00548779	0.089336	0.266982	12.7109	4.85974
12	2.45003e-05	0.0826342	0.0228609	1.89696	0
12	2.45003e-05	0.0826342	0.0356915	1.98175	0
12	2.45003e-05	0.0826342	0.031346	1.95416	0
12	2.45003e-05	0.0826342	0.0295597	1.91882	0
12	2.45003e-05	0.0826342	0.0280076	1.95771	0
13	0.00385776	0.094905	0.140424	7.7546	1.53424
13	0.00385776	0.094905	0.166619	8.47105	1.959
13	0.00385776	0.094905	0.144333	8.0045	1.61418
13	0.00385776	0.094905	0.14441	7.55632	1.43236
13	0.00385776	0.094905	0.13858	7.52468	1.40106
14	0.00694519	0.046828	0.474548	12.8966	7.49949
14	0.00694519	0.046828	0.462872	12.8829	7.51718
14	0.00694519	0.046828	0.473545	12.8043	7.45922
14	0.00694519	0.046828	0.484293	13.0896	7.61014
14	0.00694519	0.046828	0.473725	12.7179	7.43201
15	0.00521761	0.0432472	0.421101	10.7781	5.92461
15	0.00521761	0.0432472	0.396781	10.5809	5.67413
15	0.00521761	0.0432472	0.437611	10.8634	5.95497
15	0.00521761	0.0432472	0.404393	10.5843	5.68957
15	0.00521761	0.0432472	0.4061	10.7871	5.83556
16	0.00527953	0.0676353	0.307095	11.9261	5.27833
16	0.00527953	0.0676353	0.307477	12.1974	5.63196
16	0.00527953	0.0676353	0.273048	11.5187	4.81963
16	0.00527953	0.0676353	0.289701	11.9388	5.23704
16	0.00527953	0.0676353	0.277384	11.7383	4.99601
17	0.00230113	0.0276525	0.285412	6.07072	2.53116
17	0.00230113	0.0276525	0.285862	6.23718	2.62239
17	0.00230113	0.0276525	0.280421	6.38534	2.72811
17	0.00230113	0.0276525	0.285909	6.42011	2.74777
17	0.00230113	0.0276525	0.279577	6.07853	2.62193
18	0.00884697	0.0805886	0.360374	16.7032	8.58284
18	0.00884697	0.0805886	0.364083	16.9137	8.74447
18	0.00884697	0.0805886	0.39055	17.0727	9.20468
18	0.00884697	0.0805886	0.359249	16.6895	8.66032
18	0.00884697	0.0805886	0.40229	17.5331	9.58367
19	0.0088889	0.0232266	0.591622	9.30168	6.13723
19	0.0088889	0.0232266	0.58789	9.26702	6.05921
19	0.0088889	0.0232266	0.584021	9.49886	6.2909
19	0.0088889	0.0232266	0.60013	9.52856	6.38683
19	0.0088889	0.0232266	0.602878	9.31	6.22142
20	0.00832507	0.0692264	0.411503	15.9226	8.78857
20	0.00832507	0.0692264	0.40345	15.7047	8.52374
20	0.00832507	0.0692264	0.405123	15.6001	8.52733
20	0.00832507	0.0692264	0.418496	16.1223	8.96933
20	0.00832507	0.0692264	0.414595	16.0258	8.77589
21	0.00597715	0.0364989	0.473584	10.9415	6.36474
21	0.00597715	0.0364989	0.464783	10.6172	6.08546
21	0.00597715	0.0364989	0.472493	10.4702	6.11256
21	0.00597715	0.0364989	0.488131	10.7547	6.24019
21	0.00597715	0.0364989	0.475066	10.4804	6.15152
22	0.00219034	0.0928917	0.087925	4.67449	0.355306
22	0.00219034	0.0928917	0.0847049	4.55209	0.360104
22	0.00219034	0.0928917	0.0770512	4.28267	0.281343
22	0.00219034	0.0928917	0.0867166	4.82252	0.384991
22	0.00219034	0.0928917	0.0923077	4.57624	0.346908
23	0.00288406	0.0612577	0.163109	6.73109	1.67679
23	0.00288406	0.0612577	0.178703	6.92234	1.83537
23	0.00288406	0.0612577	0.165669	6.84316	1.71495
23	0.00288406	0.0612577	0.176938	7.34253	1.97116
23	0.00288406	0.0612577	0.187879	7.44895	2.08084
24	0.00503611	0.0400148	0.41704	10.217	5.52145
24	0.00503611	0.0400148	0.422701	10.514	5.67438
24	0.00503611	0.0400148	0.420819	10.2054	5.63339
24	0.00503611	0.0400148	0.413809	10.3369	5.59402
24	0.00503611	0.0400148	0.415914	10.1256	5.43444
25	0.00876058	0.0640047	0.421242	15.2637	8.65433
25	0.00876058	0.0640047	0.444824	16.29	9.32413
25	0.00876058	0.0640047	0.439611	15.8691	9.10415
25	0.00876058	0.0640047	0.449372	15.9055	9.11333
25	0.00876058	0.0640047	0.437319	15.9736	9.14843
26	0.00757623	0.0593452	0.417514	14.6499	8.16112
26	0.00757623	0.0593452	0.414868	14.1995	7.85018
26	0.00757623	0.0593452	0.424796	14.4525	7.99793
26	0.00757623	0.0593452	0.426004	14.4315	8.02695
26	0.00757623	0.0593452	0.424307	14.3004	7.92424
27	0.00227703	0.0724745	0.121889	5.5537	0.802119
27	0.00227703	0.0724745	0.112548	5.25029	0.65397
27	0.00227703	0.0724745	0.118782	5.32826	0.709941
27	0.00227703	0.0724745	0.123147	5.36831	0.739757
27	0.00227703	0.0724745	0.116035	5.2648	0.683597
28	0.00593256	0.0871583	0.241101	12.45	4.7896
28	0.00593256	0.0871583	0.253062	12.6737	5.09749
28	0.00593256	0.0871583	0.25713	12.6531	4.9314
28	0.00593256	0.0871583	0.250922	12.5518	4.88227
28	0.00593256	0.0871583	0.243724	12.3484	4.60596
29	0.00390317	0.0246496	0.416918	7.37118	4.00451
29	0.00390317	0.0246496	0.447676	7.54337	4.22111
29	0.00390317	0.0246496	0.441536	7.64799	4.25976
29	0.00390317	0.0246496	0.431672	7.48882	4.07945
29	0.00390317	0.0246496	0.42978	7.60218	4.19965
30	0.000583359	0.0714099	0.0473373	2.62478	0.0387354
30	0.000583359	0.0714099	0.0308989	2.39755	0.0129099
30	0.000583359	0.0714099	0.0550409	2.50235	0.0258546
30	0.000583359	0.0714099	0.034463	2.37289	0.014727
30	0.000583359	0.0714099	0.0451128	2.66221	0.0277121
31	0.00123793	0.0412214	0.10126	4.00302	0.456857
31	0.00123793	0.0412214	0.101416	3.81335	0.416337
31	0.00123793	0.0412214	0.104998	3.86664	0.486555
31	0.00123793	0.0412214	0.101306	3.91357	0.450218
31	0.00123793	0.0412214	0.103843	3.80054	0.425571
32	0.00787023	0.0618535	0.432681	14.7155	8.26402
32	0.00787023	0.0618535	0.413953	14.9371	8.28199
32	0.00787023	0.0618535	0.440536	15.0002	8.46556
32	0.00787023	0.0618535	0.418997	14.8398	8.2002
32	0.00787023	0.0618535	0.409002	14.4605	7.91247
33	0.00501557	0.0962548	0.182122	9.94132	2.71647
33	0.00501557	0.0962548	0.195044	10.6632	3.22486
