number	T1	density	k	density
1	2.45003e-05	1.45339e-57	0.0100448	1.94292e-25
2	0.000125212	1.52227e-52	0.0109528	2.6918e-24
3	0.000225924	9.43259e-48	0.0118608	3.49914e-23
4	0.000326636	3.45967e-43	0.0127688	4.2681e-22
5	0.000427348	7.51628e-39	0.0136768	4.88527e-21
6	0.00052806	9.68159e-35	0.0145849	5.24753e-20
7	0.000628772	7.40365e-31	0.0154929	5.29011e-19
8	0.000729484	3.36774e-27	0.0164009	5.00557e-18
9	0.000830196	9.13808e-24	0.0173089	4.44591e-17
10	0.000930908	1.48522e-20	0.0182169	3.70708e-16
11	0.00103162	1.45454e-17	0.0191249	2.90212e-15
12	0.00113233	8.6534e-15	0.0200329	2.13338e-14
13	0.00123304	3.1599e-12	0.0209409	1.47286e-13
14	0.00133376	7.16547e-10	0.021849	9.55152e-13
15	0.00143447	1.02e-07	0.022757	5.81967e-12
16	0.00153518	9.17983e-06	0.023665	3.33239e-11
17	0.00163589	0.000523145	0.024573	1.79386e-10
18	0.0017366	0.0188105	0.025481	9.08194e-10
19	0.00183731	0.424124	0.026389	4.32661e-09
20	0.00193803	5.96232	0.027297	1.94078e-08
21	0.00203874	52.0857	0.028205	8.2038e-08
22	0.00213945	282.655	0.0291131	3.27117e-07
23	0.00224016	955.049	0.0300211	1.23192e-06
24	0.00234087	2017.43	0.0309291	4.3884e-06
25	0.00244159	2677.36	0.0318371	1.48137e-05
26	0.0025423	2243.3	0.0327451	4.74848e-05
27	0.00264301	1191.94	0.0336531	0.000144872
28	0.00274372	403.049	0.0345611	0.000421703
29	0.00284443	86.9493	0.0354691	0.00117395
30	0.00294515	11.9778	0.0363772	0.00313194
31	0.00304586	1.05237	0.0372852	0.00802003
32	0.00314657	0.0587603	0.0381932	0.0197289
33	0.00324728	0.00207329	0.0391012	0.0466238
34	0.00334799	4.59131e-05	0.0400092	0.105775
35	0.00344871	6.33791e-07	0.0409172	0.230067
36	0.00354942	5.42142e-09	0.0418252	0.478973
37	0.00365013	2.86065e-11	0.0427332	0.952787
38	0.00375084	9.28333e-14	0.0436412	1.80808
39	0.00385155	1.85026e-16	0.0445493	3.26898
40	0.00395226	2.2657e-19	0.0454573	5.6259
41	0.00405298	1.70847e-22	0.0463653	9.21198
42	0.00415369	7.968e-26	0.0472733	14.3508
43	0.0042544	2.31244e-29	0.0481813	21.2769
44	0.00435511	4.2034e-33	0.0490893	30.0419
45	0.00445582	4.80805e-37	0.0499973	40.4301
46	0.00455654	3.46229e-41	0.0509053	51.9116
47	0.00465725	1.56201e-45	0.0518134	63.6544
48	0.00475796	4.37544e-50	0.0527214	74.6065
49	0.00485867	7.5282e-55	0.0536294	83.6395
50	0.00495938	7.87452e-60	0.0545374	89.7297
51	0.0050601	4.96503e-65	0.0554454	92.1417
52	0.00516081	1.87495e-70	0.0563534	90.5723
53	0.00526152	4.22118e-76	0.0572614	85.218
54	0.00536223	5.64781e-82	0.0581694	76.7423
55	0.00546294	4.48119e-88	0.0590775	66.1473
56	0.00556366	2.10543e-94	0.0599855	54.5812
57	0.00566437	5.85174e-101	0.0608935	43.1318
58	0.00576508	9.61435e-108	0.0618015	32.6621
59	0.00586579	9.33303e-115	0.0627095	23.721
60	0.0059665	5.35089e-122	0.0636175	16.537
61	0.00606721	1.81133e-129	0.0645255	11.0764
62	0.00616793	3.61935e-137	0.0654335	7.13294
63	0.00626864	4.26809e-145	0.0663415	4.41811
64	0.00636935	2.9698e-153	0.0672496	2.63208
65	0.00647006	1.21911e-161	0.0681576	1.50749
66	0.00657077	2.95199e-170	0.0690656	0.829316
67	0.00667149	4.2159e-179	0.0699736	0.437702
68	0.0067722	3.55072e-188	0.0708816	0.221326
69	0.00687291	1.76339e-197	0.0717896	0.107069
70	0.00697362	5.16349e-207	0.0726976	0.049487
71	0.00707433	8.9138e-217	0.0736056	0.0218275
72	0.00717505	9.07136e-227	0.0745137	0.00917864
73	0.00727576	5.44179e-237	0.0754217	0.00367694
74	0.00737647	1.92416e-247	0.0763297	0.00140243
75	0.00747718	4.01001e-258	0.0772377	0.000509083
76	0.00757789	4.92531e-269	0.0781457	0.000175825
77	0.00767861	3.56519e-280	0.0790537	5.77654e-05
78	0.00777932	1.52081e-291	0.0799617	1.80501e-05
79	0.00788003	3.82293e-303	0.0808697	5.36367e-06
80	0.00798074	5.66277e-315	0.0817778	1.51558e-06
81	0.00808145	0	0.0826858	4.07216e-07
82	0.00818217	0	0.0835938	1.04046e-07
83	0.00828288	0	0.0845018	2.52848e-08
84	0.00838359	0	0.0854098	5.84633e-09
85	0.0084843	0	0.0863178	1.28682e-09
86	0.00858501	0	0.0872258	2.6981e-10
87	0.00868572	0	0.0881338	5.39337e-11
88	0.00878644	0	0.0890419	1.02872e-11
89	0.00888715	0	0.0899499	1.87383e-12
90	0.00898786	0	0.0908579	3.26161e-13
91	0.00908857	0	0.0917659	5.42684e-14
92	0.00918928	0	0.0926739	8.63066e-15
93	0.00929	0	0.0935819	1.31125e-15
94	0.00939071	0	0.0944899	1.90127e-16
95	0.00949142	0	0.0953979	2.62738e-17
96	0.00959213	0	0.096306	3.4547e-18
97	0.00969284	0	0.097214	4.31456e-19
98	0.00979356	0	0.098122	5.10887e-20
99	0.00989427	0	0.09903	5.72572e-21
100	0.00999498	0	0.099938	6.06419e-22
