Sim	T1	k	Antigen_2016	MF_2016
0	0.000635745	0.0209088	3.20925	0.369303
0	0.000635745	0.0209088	3.25493	0.456022
0	0.000635745	0.0209088	3.04939	0.310295
0	0.000635745	0.0209088	3.01658	0.301288
0	0.000635745	0.0209088	2.98161	0.301842
1	0.00497707	0.0658387	11.5401	5.0587
1	0.00497707	0.0658387	11.28	4.8863
1	0.00497707	0.0658387	11.6317	4.97894
1	0.00497707	0.0658387	11.6454	4.9286
1	0.00497707	0.0658387	11.6332	5.01283
2	0.00358913	0.094873	7.18254	1.32578
2	0.00358913	0.094873	7.30155	1.31933
2	0.00358913	0.094873	6.81738	1.18306
2	0.00358913	0.094873	7.11485	1.30147
2	0.00358913	0.094873	7.59248	1.43617
3	0.0046665	0.0111414	5.48973	3.27351
3	0.0046665	0.0111414	5.37217	3.21078
3	0.0046665	0.0111414	5.45955	3.20846
3	0.0046665	0.0111414	5.47341	3.29397
3	0.0046665	0.0111414	5.45182	3.15573
4	0.00493867	0.0657577	11.798	5.15965
4	0.00493867	0.0657577	11.1933	4.77706
4	0.00493867	0.0657577	10.8921	4.49552
4	0.00493867	0.0657577	10.8236	4.39013
4	0.00493867	0.0657577	10.8667	4.64317
5	0.00234221	0.0189345	5.98758	2.85746
5	0.00234221	0.0189345	5.67939	2.81017
5	0.00234221	0.0189345	5.86844	2.9878
5	0.00234221	0.0189345	5.6392	2.76134
5	0.00234221	0.0189345	5.6221	2.73503
6	0.00252819	0.0118187	4.92825	2.47519
6	0.00252819	0.0118187	4.89696	2.47816
6	0.00252819	0.0118187	4.92404	2.41783
6	0.00252819	0.0118187	4.97375	2.50998
6	0.00252819	0.0118187	4.99732	2.5356
7	0.00627319	0.0193534	7.80123	5.0135
7	0.00627319	0.0193534	7.69712	4.83993
7	0.00627319	0.0193534	7.79316	4.96464
7	0.00627319	0.0193534	7.72607	4.94292
7	0.00627319	0.0193534	7.74679	4.92659
8	0.00867696	0.0276333	10.1564	6.69461
8	0.00867696	0.0276333	10.1625	6.62515
8	0.00867696	0.0276333	10.1447	6.70785
8	0.00867696	0.0276333	10.4237	6.89063
8	0.00867696	0.0276333	10.5962	6.97425
9	0.0081323	0.036815	12.0228	7.63926
9	0.0081323	0.036815	12.1423	7.5463
9	0.0081323	0.036815	12.0305	7.55869
9	0.0081323	0.036815	12.061	7.57545
9	0.0081323	0.036815	11.9166	7.46986
10	0.00994265	0.0107605	6.12464	4.019
10	0.00994265	0.0107605	6.03496	3.9303
10	0.00994265	0.0107605	6.07746	3.94298
10	0.00994265	0.0107605	5.98925	3.87561
10	0.00994265	0.0107605	6.12034	3.96282
11	0.00548779	0.089336	11.6641	4.09113
11	0.00548779	0.089336	11.4266	3.92269
11	0.00548779	0.089336	11.7071	4.15455
11	0.00548779	0.089336	11.8137	4.09739
11	0.00548779	0.089336	12.7109	4.85974
12	2.45003e-05	0.0826342	1.89696	0
12	2.45003e-05	0.0826342	1.98175	0
12	2.45003e-05	0.0826342	1.95416	0
12	2.45003e-05	0.0826342	1.91882	0
12	2.45003e-05	0.0826342	1.95771	0
13	0.00385776	0.094905	7.7546	1.53424
13	0.00385776	0.094905	8.47105	1.959
13	0.00385776	0.094905	8.0045	1.61418
13	0.00385776	0.094905	7.55632	1.43236
13	0.00385776	0.094905	7.52468	1.40106
14	0.00694519	0.046828	12.8966	7.49949
14	0.00694519	0.046828	12.8829	7.51718
14	0.00694519	0.046828	12.8043	7.45922
14	0.00694519	0.046828	13.0896	7.61014
14	0.00694519	0.046828	12.7179	7.43201
15	0.00521761	0.0432472	10.7781	5.92461
15	0.00521761	0.0432472	10.5809	5.67413
